locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	locustag_in_Nmen	GN_in_Nmen	locustag_in_FA1090	GN_in_FA1090
NGFG_00521		gene	exodeoxyribonuclease V%2C beta subunit	NMB0785	recB	NGO_0370	recB
NGFG_00522		gene	dyp-type peroxidase	NMB0786		NGO_0371	
NGFG_00523		gene	amino acid ABC transporter substrate-binding protein	NMB0787		NGO_0372	
NGFG_00524		gene	His/Glu/Gln/Arg/opine family amino ABC transporter%2C permease%2C 3-TM region	NMB0788		NGO_0373	
NGFG_00525		gene	amino acid ABC transporter ATP-binding protein	NMB0789		NGO_0374	
NGFG_00526		gene	phosphoglucomutase	NMB0790		NGO_0375	
NGFG_00527		gene	peptidyl-prolyl cis-trans isomerase B	NMB0791		NGO_0376	
NGFG_00528		gene	divalent anion:Na+ symporter (DASS) family transporter	NMB0792		NGO_0377	
NGFG_00529		gene	hypothetical protein	NMB0794	vanZ	NGO_0378	
NGFG_00530		gene	hypothetical protein			NGO_02015	
NGFG_00531		gene	peptidyl-tRNA hydrolase	NMB0795	pth	NGO_0379	pth
NGFG_00532	rnfH	gene	protein rnfH	NMB0796		NGO_0380	
NGFG_00533		gene	hypothetical protein	NMB0797		NGO_0381	
NGFG_00534	ftsH	gene	cell division protease FtsH	NMB0798	ftsH	NGO_0382	ftsH
NGFG_00535		gene	ribosomal RNA large subunit methyltransferase E	NMB0799		NGO_0383	
NGFG_00536		gene	RNA-binding protein	NMB0800	yhbY	NGO_0384	yhbY
NGFG_00537		gene	delta-aminolevulinic acid dehydratase	NMB0801	hemB	NGO_0385	hemB
NGFG_00538		gene	cystathionine beta-lyase	NMB0802		NGO_0386	
NGFG_00539		gene	GTP cyclohydrolase folE2	NMB0803		NGO_0387	
NGFG_00541		gene	NAD(P)H-flavin oxidoreductase	NMB0804		NGO_0388	
NGFG_00542		gene	pseudouridine synthase	NMB0806		NGO_0389	
NGFG_00543	ppnK	gene	inorganic polyphosphate/ATP-NAD kinase PpnK	NMB0807		NGO_0390	
NGFG_00544		gene	hypothetical protein	NMB0808		NGO_0391	
NGFG_00545		gene	hypothetical protein	NMB0809		NGO_0392	
NGFG_00546		gene	TetR family transcriptional regulator	NMB0810		NGO_0393	
NGFG_00547		gene	UDP-N-acetylenolpyruvoylglucosamine reductase	NMB0811	murB	NGO_0394	murB
NGFG_00548		gene	MATE efflux family protein	NMB0812	norM	NGO_0395	norM
NGFG_00550		gene	ATP phosphoribosyltransferase regulatory subunit	NMB0814		NGO_0397	
NGFG_00551		gene	adenylosuccinate synthetase	NMB0815		NGO_0398	
NGFG_02284	htpX	gene	heat shock protein HtpX	NMB0822	htpX	NGO_0399	htpX
NGFG_00554		gene	adenylate kinase	NMB0823	adk	NGO_0400	adk
NGFG_00555		gene	orotidine 5'-phosphate decarboxylase	NMB0824	pyrF	NGO_0401	pyrF
NGFG_00556		gene	RfaE%2C domain I	NMB0825	hldA	NGO_0402	hldA
NGFG_00557		gene	ADP-L-glycero-D-manno-heptose-6-epimerase	NMB0828	rfaD	NGO_0403	rfaD
NGFG_00558		gene	type I restriction enzyme EcoprrI M protein	NMB0829		NGO_0404	
NGFG_00559		gene	DNA-damage-inducible protein D			NGO_0405	dinD
NGFG_00562	clpA	gene	ATP-dependent Clp protease ATP-binding subunit ClpA	NMB0836	clpA	NGO_0408	clpA
NGFG_00563	clpS	gene	ATP-dependent Clp protease adapter protein ClpS	NMB0837	clpS	NGO_0409	clpS
NGFG_00564	cspA	gene	cold shock-like protein CspA	NMB0838		NGO_0410	
NGFG_00565		gene	PmbA protein	NMB0839	pmbA	NGO_0411	pmbA
NGFG_00566		gene	ribosome-associated protein	NMB0840		NGO_0412	
NGFG_00567		gene	hypothetical protein	NMB0841		NGO_0413	
NGFG_00568	recJ	gene	single-stranded-DNA-specific exonuclease RecJ	NMB0842	recJ	NGO_0414	recJ
NGFG_00569		gene	poly(A) polymerase	NMB0843	pcnB	NGO_0415	pcnB
NGFG_00570		gene	hypothetical protein	NMB0844		NGO_0416	
NGFG_00571	phoH	gene	phosphate starvation-inducible protein PhoH	NMB0845		NGO_0417	
NGFG_00574		gene	hypothetical protein	NMB0848		NGO_0420	
NGFG_00575		gene	deoxycytidine triphosphate deaminase	NMB0849		NGO_0421	
NGFG_00576		gene	hypothetical protein	NMB0850		NGO_0422	
NGFG_00577	rdgC	gene	recombination-associated protein rdgC	NMB0851	rdgC	NGO_0423	rdgC
NGFG_00578	engA	gene	GTP-binding protein EngA	NMB0852	der	NGO_0424	der
NGFG_00580		gene	histidyl-tRNA synthetase	NMB0854	hisS	NGO_0426	hisS
NGFG_02233		gene	peptidase	NMB0855		NGO_0427	
NGFG_02234		gene	hypothetical protein			NGO_0428	
NGFG_00582		gene	hypothetical protein				
NGFG_00583		gene	hypothetical protein			NGO_02290	
NGFG_00584		gene	hypothetical protein	NMB0866		NGO_0432	
NGFG_00585		gene	tRNA pseudouridine32 synthase/23S rRNA pseudouridine746 synthase	NMB0867		NGO_0433	
NGFG_00586		gene	hypothetical protein	NMB0868		NGO_0434	
NGFG_00587		gene	spermidine synthase	NMB0869		NGO_0435	
NGFG_00588		gene	3-methyl-2-oxobutanoate hydroxymethyltransferase	NMB0870	panB	NGO_0436	panB
NGFG_00590		gene	pantoate-beta-alanine ligase	NMB0871		NGO_0437	
NGFG_00591		gene	hypothetical protein	NMB0872		NGO_02330	
NGFG_00592	lolB	gene	outer-membrane lipoprotein lolB	NMB0873	lolB	NGO_0439	
NGFG_00593		gene	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	NMB0874	ispE	NGO_0440	ispE
NGFG_00594		gene	ribose-phosphate pyrophosphokinase	NMB0875		NGO_0441	
NGFG_00595		gene	50S ribosomal protein L25	NMB0876	ctc	NGO_0442	ctc
NGFG_00596		gene	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)	NMB0877		NGO_0443	
NGFG_00597		gene	threonine ammonia-lyase%2C biosynthetic	NMB0878	ilvA	NGO_0444	ilvA
NGFG_00598	cysA	gene	sulfate/thiosulfate import ATP-binding protein CysA	NMB0879		NGO_0445	
NGFG_00599	cysW	gene	sulfate ABC transporter%2C permease CysW	NMB0880	cysW	NGO_0446	cysW
NGFG_00600	cysT	gene	sulfate ABC transporter%2C permease CysT	NMB0881	cysT	NGO_02385	cysT
NGFG_00601		gene	hypothetical protein	NMB0882		NGO_0448	
NGFG_00602		gene	isoprenylcysteine carboxyl methyltransferase	NMB0883		NGO_0449	
NGFG_00603		gene	superoxide dismutase [Fe]	NMB0884		NGO_02400	
NGFG_00605		gene	replicative DNA helicase	NMB0885	dnaB	NGO_0451	dnaB
NGFG_00606		gene	prepilin-type N-terminal cleavage/methylation domain-containing protein	NMB0886		NGO_0452	
NGFG_00607	pilV	gene	type IV pilus modification protein PilV	NMB0887	pilV	NGO_0453	pilV
NGFG_00608	pilW	gene	type IV pilus assembly protein PilW	NMB0888		NGO_0454	
NGFG_00609	pilX	gene	type IV pilus assembly protein PilX	NMB0889		NGO_0455	
NGFG_00610		gene	prepilin-type N-terminal cleavage/methylation domain-containing protein	NMB0890		NGO_0456	
NGFG_00611		gene	branched-chain amino acid transporter			NGO_0457	
NGFG_00614		gene	AzlC-like protein	NMB0892		NGO_02440	
NGFG_00615		gene	dUTP pyrophosphatase	NMB0893	dut	NGO_0459	dut
NGFG_00616		gene	succinyldiaminopimelate transaminase	NMB0894	dapC	NGO_0460	dapC
NGFG_00617		gene	UPF0246 protein	NMB0895	yaaA	NGO_0461	yaaA
NGFG_00618		gene	phage integrase	NMB0896		NGO_0462	
NGFG_00619		gene	phage protein			NGO_0463	
NGFG_00620		gene	phage protein			NGO_0464	
NGFG_00621		gene	phage protein			NGO_0465	
NGFG_02285		gene	phage protein			NGO_0466	
NGFG_02286		gene	phage protein			NGO_0467	
NGFG_02287		gene	phage protein			NGO_0468	
NGFG_02288		gene	phage protein			NGO_0469	
NGFG_02289		gene	phage protein			NGO_0470	
NGFG_00622		gene	phage protein			NGO_1622	
NGFG_00623		gene	phage protein			NGO_1123	
NGFG_00626		gene	phage protein			NGO_1120	
NGFG_00627		gene	phage protein			NGO_0476	
NGFG_00628		gene	phage protein			NGO_0477	
NGFG_00629		gene	phage protein			NGO_0478	
NGFG_00630		gene	phage repressor protein			NGO_0479	
NGFG_00631		gene	hypothetical protein				
NGFG_02290		gene	phage protein			NGO_0480	
NGFG_02291		gene	phage protein			NGO_0481	
NGFG_02292		gene	phage protein			NGO_0483	
NGFG_02293		gene	hypothetical protein				
NGFG_02294		gene	phage protein			NGO_0484	
NGFG_02295		gene	DnaB family phage replicative helicase			NGO_0485	
NGFG_02296		gene	phage protein			NGO_0487	
NGFG_02297		gene	hypothetical protein			NGO_0488	
NGFG_02298		gene	hypothetical protein				
NGFG_02299		gene	phage protein			NGO_1640	
NGFG_01305		gene	phage protein			NGO_0491	
NGFG_01304		gene	hypothetical protein				
NGFG_01303		gene	phage protein				
NGFG_01302		gene	phage protein			NGO_0494	
NGFG_01301		gene	phage protein			NGO_0495	terL
NGFG_01300		gene	SPP1 gp7 family phage head morphogenesis protein			NGO_0496	
NGFG_01299		gene	phage protein			NGO_0497	
NGFG_01298		gene	phage protein			NGO_0498	
NGFG_01297		gene	phage protein				
NGFG_01296		gene	phage protein			NGO_0500	
NGFG_01295		gene	phage protein			NGO_0501	
NGFG_01294		gene	phage protein			NGO_0502	
NGFG_01293		gene	phage protein			NGO_0503	
NGFG_01292		gene	phage protein			NGO_0504	
NGFG_01291		gene	phage protein			NGO_0505	
NGFG_01290		gene	phage protein			NGO_0506	
NGFG_01289		gene	phage protein			NGO_0507	
NGFG_01288		gene	hypothetical protein			NGO_0508	
NGFG_01287		gene	phage protein			NGO_0509	
NGFG_01285		gene	phage protein			NGO_0511	
NGFG_01284		gene	phage protein			NGO_0513	
NGFG_01283		gene	phage protein			NGO_0514	
NGFG_02300		gene	hypothetical protein				
NGFG_01281		gene	plasmid toxin protein			NGO_0516	
NGFG_01280		gene	antitoxin			NGO_0517	
NGFG_01279		gene	phage protein			NGO_0518	
NGFG_01278		gene	phage protein			NGO_0519	
NGFG_01277		gene	hypothetical protein				
NGFG_01275		gene	hypothetical protein			NGO_0521	
NGFG_01274		gene	phage tape measure protein			NGO_0522	
NGFG_01273		gene	phage protein	NMB0899		NGO_0523	
NGFG_01272		gene	phage integrase			NGO_0524	
NGFG_01270		gene	phosphoribosylformylglycinamidine cyclo-ligase	NMB1252	purM	NGO_0526	
NGFG_02301		gene	transposase	NMB1411		NGO_0673	
NGFG_01269		gene	betaine/carnitine/choline transporter (BCCT) family transporter	NMB1277		NGO_0529	
NGFG_01268		gene	long-chain acyl-CoA synthetase	NMB1276		NGO_0530	
NGFG_01266		gene	hypothetical protein	NMB1275		NGO_0532	
NGFG_01265		gene	hypothetical protein	NMB1274		NGO_0533	
NGFG_01264		gene	polysaccharide modification protein	NMB1273		NGO_0534	
NGFG_01262		gene	mercury transport periplasmic protein	NMB1271		NGO_0537	
NGFG_01260		gene	hypothetical protein	NMB1270		NGO_0537a	
NGFG_01259		gene	hypothetical protein	NMB1269		NGO_0539	
NGFG_02302		gene	hypothetical protein				
NGFG_01257		gene	protein-tyrosine phosphatase	NMB1267		NGO_0541	
NGFG_01256		gene	fur family transcriptional regulator%2C zinc uptake regulator	NMB1266		NGO_0542	
NGFG_01255	cobW	gene	cobalamin biosynthesis protein CobW	NMB1263		NGO_0543	
NGFG_01254		gene	peptidyl-prolyl cis-trans isomerase A (cyclophilin A)	NMB1262		NGO_0544	
NGFG_01253		gene	adenine-specific DNA-methyltransferase	NMB1261		NGO_0545	
NGFG_01252		gene	type III restriction system endonuclease	NMB1260		NGO_0546	
NGFG_01251	ttcA	gene	tRNA 2-thiocytidine biosynthesis protein TtcA	NMB1023	ttcA	NGO_0547	ttcA
NGFG_01250	ygfZ	gene	tRNA-modifying protein YgfZ	NMB1024	ygfZ	NGO_0548	ygfZ
NGFG_01249		gene	hypothetical protein	NMB1025		NGO_0549	
NGFG_01248		gene	YbaK/EbsC protein	NMB1026	ybaK	NGO_0550	ybaK
NGFG_01247	dnaJ	gene	molecular chaperone DnaJ	NMB1027		NGO_0551	
NGFG_01246		gene	hypothetical protein	NMB1028		NGO_0552	
NGFG_01245		gene	hemoglobin/transferrin/lactoferrin receptor protein				
NGFG_01244		gene	hypothetical protein				
NGFG_01243		gene	hypothetical protein			NGO_0555	
NGFG_01242		gene	aspartate ammonia-lyase	NMB1029	aspA	NGO_0556	aspA
NGFG_01240		gene	hypothetical protein	NMB1030		NGO_0558	
NGFG_02303		gene	transposase	NMB1411		NGO_0201	
NGFG_01236		gene	hypothetical protein	NMB1345		NGO_0561	
NGFG_01234		gene	dihydrolipoyl dehydrogenase	NMB1344	lpdA	NGO_0562	lpdA
NGFG_01233		gene	dihydrolipoyllysine-residue acetyltransferase	NMB1342	aceF	NGO_0564	aceF
NGFG_01232		gene	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	NMB1341	aceE	NGO_0565	aceE
NGFG_01231		gene	prolyl-tRNA synthetase	NMB1339		NGO_0566	
NGFG_01230		gene	fumarylacetoacetate hydrolase	NMB1338		NGO_0567	
NGFG_01229		gene	YqgF family RNAse H domain-containing protein	NMB1337	ruvX	NGO_0568	ruvX
NGFG_01228		gene	transcriptional regulator	NMB1336		NGO_0569	
NGFG_01227		gene	CreA protein	NMB1335		NGO_0570	
NGFG_01225		gene	metallopeptidase	NMB1333		NGO_0571	
NGFG_01224		gene	C-terminal processing peptidase	NMB1332		NGO_0572	
NGFG_01223		gene	UvrABC system protein B	NMB1331	uvrB	NGO_0573	uvrB
NGFG_01222		gene	carbonic anhydrase			NGO_0574	
NGFG_02304		gene	hypothetical protein				
NGFG_01220		gene	tRNA (guanine-N(7)-)-methyltransferase	NMB1328	trmB	NGO_0575	trmB
NGFG_01217		gene	heavy metal translocating P-type ATPase	NMB1325		NGO_0579	
NGFG_01216		gene	thioredoxin-disulfide reductase	NMB1324	trxB	NGO_0580	trxB
NGFG_01215		gene	30S ribosomal protein S6	NMB1323	rpsF	NGO_0581	rpsF
NGFG_01213		gene	30S ribosomal protein S18	NMB1321		NGO_0583	rpsR
NGFG_01212		gene	50S ribosomal protein L9	NMB1320		NGO_0584	
NGFG_01211		gene	hypothetical protein	NMB1319		NGO_0585	
NGFG_01210		gene	CDP-diacylglycerol-serine O-phosphatidyltransferase	NMB1318	pssA	NGO_0586	pssA
NGFG_01208		gene	hypothetical protein	NMB1317a		NGO_0588	
NGFG_01207		gene	uracil-xanthine permease	NMB1315		NGO_0589	
NGFG_01206		gene	DNA translocase ftsK 1	NMB1314	ftsK	NGO_0590	ftsK
NGFG_02305		gene	transposase			NGO_06310	
NGFG_01205		gene	trigger factor	NMB1313		NGO_0592	
NGFG_01204		gene	ATP-dependent Clp protease proteolytic subunit	NMB1312	clpP	NGO_0593	clpP
NGFG_01203		gene	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	NMB1310	ispG	NGO_0594	ispG
NGFG_01202	pilW	gene	type IV pilus biogenesis/stability protein PilW	NMB1309	pilW	NGO_0595	pilW
NGFG_01201		gene	ribosomal RNA large subunit methyltransferase N	NMB1308	rlmN	NGO_0596	rlmN
NGFG_01200		gene	nucleoside diphosphate kinase	NMB1307	ndk	NGO_0597	ndk
NGFG_01199		gene	ATPase	NMB1306	zapE	NGO_0598	zapE
NGFG_01198		gene	S-formylglutathione hydrolase	NMB1305	fghA	NGO_0600	fghA
NGFG_01196		gene	MerR family transcriptional regulator	NMB1303		NGO_0602	
NGFG_01195		gene	integration host factor subunit beta	NMB1302		NGO_0603	
NGFG_01194		gene	30S ribosomal protein S1	NMB1301	rpsA	NGO_0604	rpsA
NGFG_01193		gene	cytidylate kinase	NMB1300		NGO_0605	
NGFG_01192		gene	NSS family neurotransmitter:Na+ symporter			NGO_0606	
NGFG_01191		gene	pseudouridine synthase	NMB1298		NGO_0607	
NGFG_01190		gene	membrane-bound lytic murein transglycosylase D	NMB1297		NGO_0608	
NGFG_01189		gene	hypothetical protein	NMB1296		NGO_0609	
NGFG_01188		gene	formamidopyrimidine-DNA glycosylase	NMB1295	mutM	NGO_0610	mutM
NGFG_01187		gene	1-acyl-sn-glycerol-3-phosphate acyltransferase	NMB1294		NGO_0611	
NGFG_01186		gene	hypothetical protein	NMB1293		NGO_0613	
NGFG_01185		gene	ribonucleoside-diphosphate reductase subunit alpha	NMB1291	nrdA	NGO_0614	nrdA
NGFG_02306		gene	hypothetical protein				
NGFG_01184		gene	ribonucleoside-diphosphate reductase 1 subunit beta	NMB1288	nrdB	NGO_0615	nrdB
NGFG_01183		gene	2Fe-2S iron-sulfur cluster binding protein	NMB1287		NGO_6151	
NGFG_01182	ftsB	gene	cell division protein FtsB	NMB1286	ftsB	NGO_0616	ftsB
NGFG_01181		gene	enolase	NMB1285	eno	NGO_0617	eno
NGFG_01180		gene	hypothetical protein	NMB1284		NGO_0618	
NGFG_01179		gene	2-dehydro-3-deoxyphosphooctonate aldolase	NMB1283	kdsA	NGO_0619	kdsA
NGFG_01178		gene	aspartate 1-decarboxylase	NMB1282		NGO_0620	
NGFG_01176		gene	transcription-repair coupling factor	NMB1281	mfd	NGO_0623	mfd
NGFG_01175		gene	acyl-CoA dehydrogenase	NMB1280		NGO_0624	
NGFG_01173		gene	lytic murein transglycosylase B	NMB1279	mltB	NGO_0626	mltB
NGFG_01172		gene	site-specific recombinase	NMB1278		NGO_0627	
NGFG_02307		gene	transposase	NMB1411		NGO_0528	
NGFG_01171		gene	DNA gyrase subunit A	NMB1384	gyrA	NGO_0629	gyrA
NGFG_01170	hscB	gene	Fe-S protein assembly co-chaperone HscB	NMB1383	hscB	NGO_0630	hscB
NGFG_01169		gene	alternative ribosome-rescue factor	NMB1382		NGO_03320	
NGFG_01168	iscA	gene	iron-sulfur cluster assembly protein IscA	NMB1381	iscA	NGO_0632	iscA
NGFG_01167		gene	FeS cluster assembly scaffold protein	NMB1380	iscU	NGO_0633	iscU
NGFG_01166		gene	cell filamentation protein			NGO_03335	
NGFG_01165		gene	hypothetical protein			NGO_0635	
NGFG_01164		gene	cysteine desulfurase	NMB1379	iscS	NGO_0636	iscS
NGFG_01163	iscR	gene	iron-sulfur cluster assembly transcription factor IscR	NMB1378	iscR	NGO_0637	iscR
NGFG_01161		gene	L-lactate dehydrogenase	NMB1377		NGO_0639	
NGFG_01160		gene	type III restriction enzyme	NMB1376		NGO_0640	
NGFG_01158		gene	tRNA pseudouridine synthase B	NMB1374	truB	NGO_0642	truB
NGFG_01157		gene	hypothetical protein			NGO_0643	
NGFG_01156		gene	ribosome-binding factor A	NMB1373	rbfA	NGO_0644	rbfA
NGFG_01155	clpX	gene	ATP-dependent Clp protease ATP-binding subunit ClpX	NMB1372	clpX	NGO_0645	clpX
NGFG_01154		gene	acetylornithine aminotransferase	NMB1371		NGO_0646	
NGFG_01153		gene	hypothetical protein	NMB1370		NGO_0647	
NGFG_01152		gene	lipoprotein	NMB1369		NGO_0648	
NGFG_01150		gene	ATP-dependent RNA helicase	NMB1368		NGO_0650	
NGFG_01149		gene	23S rRNA (-C5)-methyltransferase	NMB1367		NGO_0651	
NGFG_01148		gene	thioredoxin	NMB1366	trxA	NGO_0652	trxA
NGFG_01146		gene	hypothetical protein	NMB1365		NGO_0653	dnrN
NGFG_01145		gene	NAD+ synthetase	NMB1364	nadE	NGO_0654	nadE
NGFG_01144		gene	exodeoxyribonuclease 7 large subunit	NMB1363		NGO_0655	
NGFG_01143		gene	oxalate/formate antiporter	NMB1362		NGO_0656	
NGFG_01141		gene	pseudouridine synthase	NMB1361		NGO_0657	
NGFG_01139		gene	pyridoxine/pyridoxamine 5'-phosphate oxidase	NMB1360	pdxH	NGO_0658	pdxH
NGFG_01138		gene	CDP-4-dehydro-6-deoxyglucose reductase	NMB1359		NGO_0659	
NGFG_01137		gene	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	NMB1358	gatB	NGO_0660	gatB
NGFG_01136		gene	hypothetical protein	NMB1357		NGO_0661	
NGFG_01135		gene	glutamyl-tRNA(Gln) amidotransferase subunit A	NMB1356	gatA	NGO_0662	gatA
NGFG_01134		gene	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	NMB1355	gatC	NGO_0663	gatC
NGFG_01133	marC	gene	multiple antibiotic resistance membrane protein MarC			NGO_0664	
NGFG_01132		gene	aldehyde dehydrogenase	NMB1353		NGO_0665	
NGFG_01131		gene	hypothetical protein	NMB1352		NGO_0666	
NGFG_01129		gene	ribosomal RNA small subunit methyltransferase B	NMB1351		NGO_0668	
NGFG_01128		gene	hypothetical protein	NMB1349		NGO_0669	
NGFG_01127		gene	RNA methyltransferase%2C TrmH family%2C group 1	NMB1348		NGO_0670	
NGFG_01125		gene	inositol-1-monophosphatase	NMB1347		NGO_0671	
NGFG_02308		gene	hypothetical protein				
NGFG_02309		gene	transposase	NMB1411		NGO_0528	
NGFG_01123		gene	3-isopropylmalate dehydrogenase	NMB1031	leuB	NGO_0674	leuB
NGFG_01122		gene	type II restriction endonuclease NlaIV	NMB1032		NGO_0675	
NGFG_01121		gene	modification methylase NlaIV	NMB1033		NGO_0676	
NGFG_01120		gene	3-isopropylmalate dehydratase small subunit	NMB1034	leuD	NGO_0677	leuD
NGFG_01119		gene	lipoprotein	NMB1035		NGO_0678	
NGFG_01118		gene	3-isopropylmalate dehydratase large subunit	NMB1036	leuC	NGO_0679	leuC
NGFG_01117		gene	glutamate-cysteine ligase	NMB1037	gshA	NGO_0680	gshA
NGFG_01116	radC	gene	DNA repair protein RadC	NMB1038	radC	NGO_0681	radC
NGFG_01115		gene	hypothetical protein	NMB1039	queH	NGO_0682	queH
NGFG_01114		gene	hypothetical protein	NMB1040		NGO_0683	
NGFG_01113	hflX	gene	GTP-binding protein HflX	NMB1041	hflX	NGO_0684	hflX
NGFG_01112		gene	heavy metal translocating P-type ATPase	NMB1042		NGO_0685	
NGFG_01110		gene	ferredoxin-NADP+ reductase	NMB1044		NGO_0687	
NGFG_01109		gene	hypothetical protein	NMB1045		NGO_0688	
NGFG_01108		gene	threonine synthase	NMB1046		NGO_0689	
NGFG_01107		gene	lipoprotein	NMB1047		NGO_0690	
NGFG_01106		gene	membrane protein				
NGFG_01105		gene	membrane protein				
NGFG_01104		gene	hypothetical protein				
NGFG_01100		gene	outer membrane autotransporter barrel domain-containing protein			NGO_0694	
NGFG_01099		gene	hypothetical protein				
NGFG_01097		gene	hypothetical protein			NGO_03650	
NGFG_01096		gene	recombination factor protein R	NMB1258		NGO_0696	
NGFG_01095		gene	type I restriction enzyme%2C R subunit			NGO_0697	
NGFG_01094		gene	hypothetical protein			NGO_0698	
NGFG_01093		gene	type I restriction enzyme%2C S subunit			NGO_0699	
NGFG_01092		gene	hypothetical protein			NGO_0700	
NGFG_01091		gene	hypothetical protein			NGO_0701	
NGFG_01088		gene	3%2C4-dihydroxy-2-butanone 4-phosphate synthase	NMB1256	ribB	NGO_0704	ribB
NGFG_02310		gene	hypothetical protein				
NGFG_02311		gene	hypothetical protein				
NGFG_01084		gene	hypothetical protein			NGO_0709	
NGFG_01083		gene	hypothetical protein				
NGFG_01081		gene	A/G-specific adenine glycosylase	NMB1396	mutY	NGO_0710	mutY
NGFG_01080		gene	alcohol dehydrogenase	NMB1395		NGO_0711	
NGFG_01078		gene	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	NMB1394		NGO_0713	
NGFG_01077		gene	phosphogluconate dehydratase	NMB1393	edd	NGO_0714	edd
NGFG_01076		gene	glucose-6-phosphate dehydrogenase	NMB1392	zwf	NGO_0715	zwf
NGFG_01075		gene	6-phosphogluconolactonase	NMB1391	pgl	NGO_0716	pgl
NGFG_01074		gene	glucokinase	NMB1390		NGO_0717	
NGFG_01073		gene	RpiR family transcriptional regulator	NMB1389	hexR	NGO_0718	hexR
NGFG_01072		gene	glucose-6-phosphate isomerase 1	NMB1388	pgi	NGO_0719	pgi
NGFG_01070		gene	phage protein			NGO_0721	
NGFG_01069		gene	hypothetical protein			NGO_0722	
NGFG_01068		gene	hypothetical protein			NGO_0723	
NGFG_02312		gene	hypothetical protein	NMB1119			
NGFG_01064		gene	proteic killer suppression protein				
NGFG_01063		gene	plasmid maintenance system antidote protein				
NGFG_01062		gene	phage protein				
NGFG_01060		gene	phage tail protein I			NGO_0725a	
NGFG_01059		gene	phage baseplate assembly protein			NGO_0727	
NGFG_01058		gene	phage protein			NGO_03855	
NGFG_01056		gene	phage protein			NGO_0729	
NGFG_02313		gene	transposase	NMB1411		NGO_0528	
NGFG_01055		gene	phage protein			NGO_0731	
NGFG_01054		gene	phage protein			NGO_0732	
NGFG_01053		gene	hypothetical protein				
NGFG_01052		gene	phage integrase			NGO_03890	
NGFG_01051		gene	ferredoxin-NADP+ reductase	NMB1450		NGO_0734	
NGFG_01048		gene	DNA polymerase IV	NMB1448	dinB	NGO_0738	dinB
NGFG_01046		gene	3-dehydroquinate dehydratase	NMB1446		NGO_0740	
NGFG_01045	recA	gene	protein recA	NMB1445	recA	NGO_0741	recA
NGFG_01044		gene	UPF0133 protein	NMB1444		NGO_0742	
NGFG_01043	tau	gene	DNA polymerase III%2C subunit gamma and tau	NMB1443	dnaX	NGO_0743	dnaX
NGFG_01041		gene	hypothetical protein	NMB1441a		NGO_0745	
NGFG_01040		gene	O-methyltransferase	NMB1441		NGO_0746	
NGFG_01039		gene	hypothetical protein	NMB1440		NGO_0747	
NGFG_01038		gene	phosphoribosylaminoimidazole carboxylase%2C catalytic subunit	NMB1439	purE	NGO_0748	purE
NGFG_02314		gene	hypothetical protein	NMB1736		NGO_00200	
NGFG_02315		gene	hypothetical protein				
NGFG_01037		gene	outer membrane autotransporter barrel domain-containing protein			NGO_0751	
NGFG_01036	narL	gene	two-component system%2C NarL family%2C nitrate/nitrite response regulator NarL	NMB1250		NGO_0752	
NGFG_01035	narX	gene	two-component system%2C NarL family%2C nitrate/nitrite sensor kinase NarX	NMB1249		NGO_0753	
NGFG_01034		gene	molybdopterin-guanine dinucleotide biosynthesis protein A			NGO_0754	
NGFG_01033		gene	riboflavin synthase%2C alpha subunit			NGO_0755	
NGFG_01032		gene	hypothetical protein	NMB1246		NGO_0756	
NGFG_01031		gene	hypothetical protein			NGO_0757	
NGFG_01030		gene	ribulose-phosphate 3-epimerase	NMB1244	rpe	NGO_0758	rpe
NGFG_01029	ruvB	gene	Holliday junction ATP-dependent DNA helicase ruvB	NMB1243	ruvB	NGO_0760	ruvB
NGFG_01028		gene	hypothetical protein	NMB1242		NGO_0761	
NGFG_01027		gene	multifunctional CCA protein	NMB1241		NGO_0763	
NGFG_01026		gene	ABC transporter ATP-binding protein	NMB1240		NGO_0764	
NGFG_01025		gene	ArsC family protein	NMB1239		NGO_0765	
NGFG_01024		gene	peptidyl-prolyl cis-trans isomerase D	NMB1238		NGO_0766	
NGFG_01023	recR	gene	recombination protein recR	NMB1237	recR	NGO_0767	recR
NGFG_01022		gene	hypothetical protein	NMB1236		NGO_04070	
NGFG_01020	lolC	gene	lipoprotein-releasing system transmembrane protein lolC	NMB1235		NGO_0769	
NGFG_01019	lolD	gene	lipoprotein-releasing system ATP-binding protein LolD	NMB1234	lolD	NGO_0770	lolD
NGFG_01018		gene	exodeoxyribonuclease V%2C alpha subunit	NMB1233	recD	NGO_0771	recD
NGFG_01016		gene	hypothetical protein			NGO_04090	
NGFG_02316		gene	hypothetical protein			NGO_0773	
NGFG_01015		gene	hypothetical protein			NGO_04100	
NGFG_01014		gene	ATP-dependent protease La	NMB1231	lon	NGO_0775	lon
