locustag_in_Ngo	GN_in_Ngo	type_in_Ngo	product_in_Ngo	BlastHit	locustag_in_Nmen	GN_in_Nmen	type_in_Nmen	product_in_Nmen	locustag_in_FA1090	GN_in_FA1090	type_in_FA1090	product_in_FA1090
NGFG_01273		gene	phage protein	"	Nmen	FA1090"	NMB0899		gene	DUF4760 domain-containing protein	NGO_0523		gene	DUF4760 domain-containing protein
NGFG_01272		gene	phage integrase	"	FA1090"					NGO_0524		gene	site-specific integrase
NGFG_01270		gene	phosphoribosylformylglycinamidine cyclo-ligase	"	Nmen	FA1090"	NMB1252	purM	gene	phosphoribosylformylglycinamidine cyclo-ligase	NGO_0526		gene	phosphoribosylformylglycinamidine cyclo-ligase
NGFG_02301		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0673		gene	IS1595 family transposase
NGFG_01269		gene	betaine/carnitine/choline transporter (BCCT) family transporter	"	Nmen	FA1090"	NMB1277		gene	BCCT family transporter	NGO_0529		gene	BCCT family transporter
NGFG_01268		gene	long-chain acyl-CoA synthetase	"	Nmen	FA1090"	NMB1276		gene	fatty acid--CoA ligase	NGO_0530		gene	fatty acid--CoA ligase
NGFG_01266		gene	hypothetical protein	"	Nmen	FA1090"	NMB1275		gene	SGNH/GDSL hydrolase family protein	NGO_0532		gene	SGNH/GDSL hydrolase family protein
NGFG_01265		gene	hypothetical protein	"	Nmen	FA1090"	NMB1274		gene	DUF459 domain-containing protein	NGO_0533		gene	DUF459 domain-containing protein
NGFG_01264		gene	polysaccharide modification protein	"	Nmen	FA1090"	NMB1273		gene	MBOAT family protein	NGO_0534		gene	MBOAT family protein
NGFG_01263		pseudogene		"	FA1090"							pseudogene	sugar transporter
NGFG_01262		gene	mercury transport periplasmic protein	"	Nmen	FA1090"	NMB1271		gene	heavy-metal-associated domain-containing protein	NGO_0537		gene	heavy-metal-associated domain-containing protein
NGFG_01260		gene	hypothetical protein	"	Nmen	FA1090"	NMB1270		gene	methyltransferase regulatory domain-containing protein	NGO_0537a		gene	methyltransferase regulatory domain-containing protein
NGFG_01259		gene	hypothetical protein	"	Nmen	FA1090"	NMB1269		gene	hypothetical protein	NGO_0539		gene	hypothetical protein
NGFG_02302		gene	hypothetical protein	""								
NGFG_01258		pseudogene		"	Nmen	FA1090"	NMB1268		gene	glycerate kinase	NGO_02855		pseudogene	glycerate kinase
NGFG_01257		gene	protein-tyrosine phosphatase	"	Nmen	FA1090"	NMB1267		gene	low molecular weight phosphotyrosine protein phosphatase	NGO_0541		gene	low molecular weight phosphotyrosine protein phosphatase
NGFG_01256		gene	fur family transcriptional regulator%2C zinc uptake regulator	"	Nmen	FA1090"	NMB1266		gene	transcriptional repressor	NGO_0542		gene	transcriptional repressor
NGFG_01255	cobW	gene	cobalamin biosynthesis protein CobW	"	Nmen	FA1090"	NMB1263		gene	GTP-binding protein	NGO_0543		gene	GTP-binding protein
NGFG_01254		gene	peptidyl-prolyl cis-trans isomerase A (cyclophilin A)	"	Nmen	FA1090"	NMB1262		gene	peptidyl-prolyl cis-trans isomerase	NGO_0544		gene	peptidyl-prolyl cis-trans isomerase
NGFG_01253		gene	adenine-specific DNA-methyltransferase	"	Nmen	FA1090"	NMB1261		pseudogene	site-specific DNA-methyltransferase	NGO_0545		gene	site-specific DNA-methyltransferase
NGFG_01252		gene	type III restriction system endonuclease	"	Nmen	FA1090"	NMB1260		gene	type III restriction-modification system endonuclease	NGO_0546		gene	type III restriction-modification system endonuclease
NGFG_01251	ttcA	gene	tRNA 2-thiocytidine biosynthesis protein TtcA	"	Nmen	FA1090"	NMB1023	ttcA	gene	tRNA 2-thiocytidine(32) synthetase TtcA	NGO_0547	ttcA	gene	tRNA 2-thiocytidine(32) synthetase TtcA
NGFG_01250	ygfZ	gene	tRNA-modifying protein YgfZ	"	Nmen	FA1090"	NMB1024	ygfZ	gene	folate-binding protein YgfZ	NGO_0548	ygfZ	gene	folate-binding protein YgfZ
NGFG_01249		gene	hypothetical protein	"	Nmen	FA1090"	NMB1025		gene	RidA family protein	NGO_0549		gene	RidA family protein
NGFG_01248		gene	YbaK/EbsC protein	"	Nmen	FA1090"	NMB1026	ybaK	gene	Cys-tRNA(Pro) deacylase	NGO_0550	ybaK	gene	Cys-tRNA(Pro) deacylase
NGFG_01247	dnaJ	gene	molecular chaperone DnaJ	"	Nmen	FA1090"	NMB1027		gene	DnaJ domain-containing protein	NGO_0551		gene	DnaJ domain-containing protein
NGFG_01246		gene	hypothetical protein	"	Nmen	FA1090"	NMB1028		gene	DMT family transporter	NGO_0552		gene	DMT family transporter
NGFG_01245		gene	hemoglobin/transferrin/lactoferrin receptor protein	""								
NGFG_01244		gene	hypothetical protein	""								
NGFG_01243		gene	hypothetical protein	"	FA1090"					NGO_0555		gene	DUF560 domain-containing protein
NGFG_01242		gene	aspartate ammonia-lyase	"	Nmen	FA1090"	NMB1029	aspA	gene	aspartate ammonia-lyase	NGO_0556	aspA	gene	aspartate ammonia-lyase
NGFG_01240		gene	hypothetical protein	"	Nmen	FA1090"	NMB1030		gene	polyisoprenoid-binding protein	NGO_0558		gene	polyisoprenoid-binding protein
NGFG_02303		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0201		gene	IS1595 family transposase
NGFG_01237		pseudogene		"	FA1090"							pseudogene	TonB-dependent siderophore receptor
NGFG_01236		gene	hypothetical protein	"	Nmen	FA1090"	NMB1345		gene	YdgA family protein	NGO_0561		gene	YdgA family protein
NGFG_01234		gene	dihydrolipoyl dehydrogenase	"	Nmen	FA1090"	NMB1344	lpdA	gene	dihydrolipoyl dehydrogenase	NGO_0562	lpdA	gene	dihydrolipoyl dehydrogenase
NGFG_01233		gene	dihydrolipoyllysine-residue acetyltransferase	"	Nmen	FA1090"	NMB1342	aceF	gene	dihydrolipoyllysine-residue acetyltransferase	NGO_0564	aceF	gene	dihydrolipoyllysine-residue acetyltransferase
NGFG_01232		gene	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	"	Nmen	FA1090"	NMB1341	aceE	gene	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	NGO_0565	aceE	gene	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
NGFG_01231		gene	prolyl-tRNA synthetase	"	Nmen	FA1090"	NMB1339		gene	proline--tRNA ligase	NGO_0566		gene	proline--tRNA ligase
NGFG_01230		gene	fumarylacetoacetate hydrolase	"	Nmen	FA1090"	NMB1338		gene	fumarylacetoacetate hydrolase family protein	NGO_0567		gene	fumarylacetoacetate hydrolase family protein
NGFG_01229		gene	YqgF family RNAse H domain-containing protein	"	Nmen	FA1090"	NMB1337	ruvX	gene	Holliday junction resolvase RuvX	NGO_0568	ruvX	gene	Holliday junction resolvase RuvX
NGFG_01228		gene	transcriptional regulator	"	Nmen	FA1090"	NMB1336		gene	YqgE/AlgH family protein	NGO_0569		gene	YqgE/AlgH family protein
NGFG_01227		gene	CreA protein	"	Nmen	FA1090"	NMB1335		gene	CreA family protein	NGO_0570		gene	CreA family protein
NGFG_01225		gene	metallopeptidase	"	Nmen	FA1090"	NMB1333		gene	peptidoglycan DD-metalloendopeptidase family protein	NGO_0571		gene	peptidoglycan DD-metalloendopeptidase family protein
NGFG_01224		gene	C-terminal processing peptidase	"	Nmen	FA1090"	NMB1332		gene	S41 family peptidase	NGO_0572		gene	S41 family peptidase
NGFG_01223		gene	UvrABC system protein B	"	Nmen	FA1090"	NMB1331	uvrB	gene	excinuclease ABC subunit B	NGO_0573	uvrB	gene	excinuclease ABC subunit B
NGFG_01222		gene	carbonic anhydrase	"	FA1090"					NGO_0574		gene	carbonic anhydrase family protein
NGFG_02304		gene	hypothetical protein	"	FA1090"							gene	hypothetical protein
NGFG_01220		gene	tRNA (guanine-N(7)-)-methyltransferase	"	Nmen	FA1090"	NMB1328	trmB	gene	tRNA (guanosine(46)-N7)-methyltransferase TrmB	NGO_0575	trmB	gene	tRNA (guanosine(46)-N7)-methyltransferase TrmB
NGFG_01219		pseudogene		"	Nmen	FA1090"	NMB1327		gene	sel1 repeat family protein	NGO_03050		pseudogene	sel1 repeat family protein
NGFG_01218		pseudogene		"	Nmen	FA1090"	NMB1326	uvrC	gene	excinuclease ABC subunit UvrC	NGO_0578	uvrC	gene	excinuclease ABC subunit UvrC
NGFG_01217		gene	heavy metal translocating P-type ATPase	"	Nmen	FA1090"	NMB1325		gene	copper-translocating P-type ATPase	NGO_0579		gene	copper-translocating P-type ATPase
NGFG_01216		gene	thioredoxin-disulfide reductase	"	Nmen	FA1090"	NMB1324	trxB	gene	thioredoxin-disulfide reductase	NGO_0580	trxB	gene	thioredoxin-disulfide reductase
NGFG_01215		gene	30S ribosomal protein S6	"	Nmen	FA1090"	NMB1323	rpsF	gene	30S ribosomal protein S6	NGO_0581	rpsF	gene	30S ribosomal protein S6
NGFG_01213		gene	30S ribosomal protein S18	"	Nmen	FA1090"	NMB1321		gene	30S ribosomal protein S18	NGO_0583	rpsR	gene	30S ribosomal protein S18
NGFG_01212		gene	50S ribosomal protein L9	"	Nmen	FA1090"	NMB1320		gene	50S ribosomal protein L9	NGO_0584		gene	50S ribosomal protein L9
NGFG_01211		gene	hypothetical protein	"	Nmen	FA1090"	NMB1319		pseudogene	sulfite exporter TauE/SafE family protein	NGO_0585		gene	sulfite exporter TauE/SafE family protein
NGFG_01210		gene	CDP-diacylglycerol-serine O-phosphatidyltransferase	"	Nmen	FA1090"	NMB1318	pssA	gene	CDP-diacylglycerol--serine O-phosphatidyltransferase	NGO_0586	pssA	gene	CDP-diacylglycerol--serine O-phosphatidyltransferase
NGFG_01208		gene	hypothetical protein	"	Nmen	FA1090"	NMB1317a		gene	DUF4189 domain-containing protein	NGO_0588		gene	DUF4189 domain-containing protein
NGFG_01207		gene	uracil-xanthine permease	"	Nmen	FA1090"	NMB1315		gene	uracil-xanthine permease	NGO_0589		gene	uracil-xanthine permease
NGFG_01206		gene	DNA translocase ftsK 1	"	Nmen	FA1090"	NMB1314	ftsK	gene	DNA translocase FtsK	NGO_0590	ftsK	gene	DNA translocase FtsK
NGFG_02305		gene	transposase	"	FA1090"					NGO_06310		gene	transposase
NGFG_01205		gene	trigger factor	"	Nmen	FA1090"	NMB1313		gene	trigger factor	NGO_0592		gene	trigger factor
NGFG_01204		gene	ATP-dependent Clp protease proteolytic subunit	"	Nmen	FA1090"	NMB1312	clpP	gene	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	NGO_0593	clpP	gene	ATP-dependent Clp endopeptidase proteolytic subunit ClpP
NGFG_01203		gene	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	"	Nmen	FA1090"	NMB1310	ispG	gene	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	NGO_0594	ispG	gene	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
NGFG_01202	pilW	gene	type IV pilus biogenesis/stability protein PilW	"	Nmen	FA1090"	NMB1309	pilW	gene	type IV pilus biogenesis/stability protein PilW	NGO_0595	pilW	gene	type IV pilus biogenesis/stability protein PilW
NGFG_01201		gene	ribosomal RNA large subunit methyltransferase N	"	Nmen	FA1090"	NMB1308	rlmN	gene	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	NGO_0596	rlmN	gene	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
NGFG_01200		gene	nucleoside diphosphate kinase	"	Nmen	FA1090"	NMB1307	ndk	gene	nucleoside-diphosphate kinase	NGO_0597	ndk	gene	nucleoside-diphosphate kinase
NGFG_01199		gene	ATPase	"	Nmen	FA1090"	NMB1306	zapE	gene	cell division protein ZapE	NGO_0598	zapE	gene	cell division protein ZapE
NGFG_01198		gene	S-formylglutathione hydrolase	"	Nmen	FA1090"	NMB1305	fghA	gene	S-formylglutathione hydrolase	NGO_0600	fghA	gene	S-formylglutathione hydrolase
NGFG_01197		pseudogene		"	Nmen	FA1090"	NMB1304		gene	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	NGO_03170		pseudogene	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
NGFG_01196		gene	MerR family transcriptional regulator	"	Nmen	FA1090"	NMB1303		gene	MerR family transcriptional regulator	NGO_0602		gene	MerR family transcriptional regulator
NGFG_01195		gene	integration host factor subunit beta	"	Nmen	FA1090"	NMB1302		gene	integration host factor subunit beta	NGO_0603		gene	integration host factor subunit beta
NGFG_01194		gene	30S ribosomal protein S1	"	Nmen	FA1090"	NMB1301	rpsA	gene	30S ribosomal protein S1	NGO_0604	rpsA	gene	30S ribosomal protein S1
NGFG_01193		gene	cytidylate kinase	"	Nmen	FA1090"	NMB1300		gene	(d)CMP kinase	NGO_0605		gene	(d)CMP kinase
NGFG_01192		gene	NSS family neurotransmitter:Na+ symporter	"	Nmen	FA1090"			pseudogene	transporter	NGO_0606		gene	sodium-dependent transporter
NGFG_01191		gene	pseudouridine synthase	"	Nmen	FA1090"	NMB1298		gene	pseudouridine synthase	NGO_0607		gene	pseudouridine synthase
NGFG_01190		gene	membrane-bound lytic murein transglycosylase D	"	Nmen	FA1090"	NMB1297		gene	LysM peptidoglycan-binding domain-containing protein	NGO_0608		gene	LysM peptidoglycan-binding domain-containing protein
NGFG_01189		gene	hypothetical protein	"	Nmen	FA1090"	NMB1296		gene	methyltransferase	NGO_0609		gene	methyltransferase domain-containing protein
NGFG_01188		gene	formamidopyrimidine-DNA glycosylase	"	Nmen	FA1090"	NMB1295	mutM	gene	DNA-formamidopyrimidine glycosylase	NGO_0610	mutM	gene	DNA-formamidopyrimidine glycosylase
NGFG_01187		gene	1-acyl-sn-glycerol-3-phosphate acyltransferase	"	Nmen	FA1090"	NMB1294		gene	1-acyl-sn-glycerol-3-phosphate acyltransferase	NGO_0611		gene	1-acyl-sn-glycerol-3-phosphate acyltransferase
NGFG_01186		gene	hypothetical protein	"	Nmen	FA1090"	NMB1293		gene	hypothetical protein	NGO_0613		gene	hypothetical protein
NGFG_01185		gene	ribonucleoside-diphosphate reductase subunit alpha	"	Nmen	FA1090"	NMB1291	nrdA	gene	ribonucleoside-diphosphate reductase subunit alpha	NGO_0614	nrdA	gene	ribonucleoside-diphosphate reductase subunit alpha
NGFG_02306		gene	hypothetical protein	""								
NGFG_01184		gene	ribonucleoside-diphosphate reductase 1 subunit beta	"	Nmen	FA1090"	NMB1288	nrdB	gene	ribonucleotide-diphosphate reductase subunit beta	NGO_0615	nrdB	gene	ribonucleotide-diphosphate reductase subunit beta
NGFG_01183		gene	2Fe-2S iron-sulfur cluster binding protein	"	Nmen	FA1090"	NMB1287		gene	2Fe-2S ferredoxin-like protein	NGO_6151		gene	2Fe-2S ferredoxin-like protein
NGFG_01182	ftsB	gene	cell division protein FtsB	"	Nmen	FA1090"	NMB1286	ftsB	gene	cell division protein FtsB	NGO_0616	ftsB	gene	cell division protein FtsB
NGFG_01181		gene	enolase	"	Nmen	FA1090"	NMB1285	eno	gene	phosphopyruvate hydratase	NGO_0617	eno	gene	phosphopyruvate hydratase
NGFG_01180		gene	hypothetical protein	"	Nmen	FA1090"	NMB1284		gene	DUF4149 domain-containing protein	NGO_0618		gene	DUF4149 domain-containing protein
NGFG_01179		gene	2-dehydro-3-deoxyphosphooctonate aldolase	"	Nmen	FA1090"	NMB1283	kdsA	gene	3-deoxy-8-phosphooctulonate synthase	NGO_0619	kdsA	gene	3-deoxy-8-phosphooctulonate synthase
NGFG_01178		gene	aspartate 1-decarboxylase	"	Nmen	FA1090"	NMB1282		gene	aspartate 1-decarboxylase	NGO_0620		gene	aspartate 1-decarboxylase
NGFG_01177		pseudogene		"	FA1090"					NGO_0621		gene	DUF2004 domain-containing protein
NGFG_01176		gene	transcription-repair coupling factor	"	Nmen	FA1090"	NMB1281	mfd	gene	transcription-repair coupling factor	NGO_0623	mfd	gene	transcription-repair coupling factor
NGFG_01175		gene	acyl-CoA dehydrogenase	"	Nmen	FA1090"	NMB1280		gene	acyl-CoA/acyl-ACP dehydrogenase	NGO_0624		gene	acyl-CoA/acyl-ACP dehydrogenase
NGFG_01173		gene	lytic murein transglycosylase B	"	Nmen	FA1090"	NMB1279	mltB	gene	lytic murein transglycosylase B	NGO_0626	mltB	gene	lytic murein transglycosylase B
NGFG_01172		gene	site-specific recombinase	"	Nmen	FA1090"	NMB1278		gene	site-specific recombinase	NGO_0627		gene	site-specific recombinase
NGFG_02307		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0528		gene	IS1595 family transposase
NGFG_01171		gene	DNA gyrase subunit A	"	Nmen	FA1090"	NMB1384	gyrA	gene	DNA gyrase subunit A	NGO_0629	gyrA	gene	DNA gyrase subunit A
NGFG_01170	hscB	gene	Fe-S protein assembly co-chaperone HscB	"	Nmen	FA1090"	NMB1383	hscB	gene	Fe-S protein assembly co-chaperone HscB	NGO_0630	hscB	gene	Fe-S protein assembly co-chaperone HscB
NGFG_01169		gene	alternative ribosome-rescue factor	"	Nmen	FA1090"	NMB1382		gene	alternative ribosome-rescue factor A	NGO_03320		gene	alternative ribosome-rescue factor A
NGFG_01168	iscA	gene	iron-sulfur cluster assembly protein IscA	"	Nmen	FA1090"	NMB1381	iscA	gene	iron-sulfur cluster assembly protein IscA	NGO_0632	iscA	gene	iron-sulfur cluster assembly protein IscA
NGFG_01167		gene	FeS cluster assembly scaffold protein	"	Nmen	FA1090"	NMB1380	iscU	gene	Fe-S cluster assembly scaffold IscU	NGO_0633	iscU	gene	Fe-S cluster assembly scaffold IscU
NGFG_01166		gene	cell filamentation protein	"	FA1090"					NGO_03335		gene	Fic family protein
NGFG_01165		gene	hypothetical protein	"	FA1090"					NGO_0635		gene	hypothetical protein
NGFG_01164		gene	cysteine desulfurase	"	Nmen	FA1090"	NMB1379	iscS	gene	IscS subfamily cysteine desulfurase	NGO_0636	iscS	gene	IscS subfamily cysteine desulfurase
NGFG_01163	iscR	gene	iron-sulfur cluster assembly transcription factor IscR	"	Nmen	FA1090"	NMB1378	iscR	gene	Fe-S cluster assembly transcriptional regulator IscR	NGO_0637	iscR	gene	Fe-S cluster assembly transcriptional regulator IscR
NGFG_01161		gene	L-lactate dehydrogenase	"	Nmen	FA1090"	NMB1377		gene	alpha-hydroxy-acid oxidizing protein	NGO_0639		gene	alpha-hydroxy-acid oxidizing protein
NGFG_01160		gene	type III restriction enzyme	"	Nmen	FA1090"	NMB1376		pseudogene	DEAD/DEAH box helicase family protein	NGO_0640		gene	DEAD/DEAH box helicase family protein
NGFG_01159		pseudogene		"	FA1090"					NGO_0641		gene	type III restriction endonuclease HindVIP subunit M
NGFG_01158		gene	tRNA pseudouridine synthase B	"	Nmen	FA1090"	NMB1374	truB	gene	tRNA pseudouridine(55) synthase TruB	NGO_0642	truB	gene	tRNA pseudouridine(55) synthase TruB
NGFG_01157		gene	hypothetical protein	"	FA1090"					NGO_0643		gene	hypothetical protein
NGFG_01156		gene	ribosome-binding factor A	"	Nmen	FA1090"	NMB1373	rbfA	gene	30S ribosome-binding factor RbfA	NGO_0644	rbfA	gene	30S ribosome-binding factor RbfA
NGFG_01155	clpX	gene	ATP-dependent Clp protease ATP-binding subunit ClpX	"	Nmen	FA1090"	NMB1372	clpX	gene	ATP-dependent Clp protease ATP-binding subunit ClpX	NGO_0645	clpX	gene	ATP-dependent Clp protease ATP-binding subunit ClpX
NGFG_01154		gene	acetylornithine aminotransferase	"	Nmen	FA1090"	NMB1371		gene	aspartate aminotransferase family protein	NGO_0646		gene	aspartate aminotransferase family protein
NGFG_01153		gene	hypothetical protein	"	Nmen	FA1090"	NMB1370		gene	hypothetical protein	NGO_0647		gene	hypothetical protein
NGFG_01152		gene	lipoprotein	"	Nmen	FA1090"	NMB1369		gene	hypothetical protein	NGO_0648		gene	hypothetical protein
NGFG_01150		gene	ATP-dependent RNA helicase	"	Nmen	FA1090"	NMB1368		gene	DEAD/DEAH box helicase	NGO_0650		gene	DEAD/DEAH box helicase
NGFG_01149		gene	23S rRNA (-C5)-methyltransferase	"	Nmen	FA1090"	NMB1367		gene	class I SAM-dependent methyltransferase	NGO_0651		gene	class I SAM-dependent methyltransferase
NGFG_01148		gene	thioredoxin	"	Nmen	FA1090"	NMB1366	trxA	gene	thioredoxin TrxA	NGO_0652	trxA	gene	thioredoxin TrxA
NGFG_01146		gene	hypothetical protein	"	Nmen	FA1090"	NMB1365		gene	hemerythrin domain-containing protein	NGO_0653	dnrN	gene	iron-sulfur cluster repair protein DnrN
NGFG_01145		gene	NAD+ synthetase	"	Nmen	FA1090"	NMB1364	nadE	gene	NAD(+) synthase	NGO_0654	nadE	gene	NAD(+) synthase
NGFG_01144		gene	exodeoxyribonuclease 7 large subunit	"	Nmen	FA1090"	NMB1363		gene	exodeoxyribonuclease VII large subunit	NGO_0655		gene	exodeoxyribonuclease VII large subunit
NGFG_01143		gene	oxalate/formate antiporter	"	Nmen	FA1090"	NMB1362		gene	OFA family MFS transporter	NGO_0656		gene	OFA family MFS transporter
NGFG_01141		gene	pseudouridine synthase	"	Nmen	FA1090"	NMB1361		gene	rRNA pseudouridine synthase	NGO_0657		gene	rRNA pseudouridine synthase
NGFG_01139		gene	pyridoxine/pyridoxamine 5'-phosphate oxidase	"	Nmen	FA1090"	NMB1360	pdxH	gene	pyridoxamine 5'-phosphate oxidase	NGO_0658	pdxH	gene	pyridoxamine 5'-phosphate oxidase
NGFG_01138		gene	CDP-4-dehydro-6-deoxyglucose reductase	"	Nmen	FA1090"	NMB1359		gene	2Fe-2S iron-sulfur cluster binding domain-containing protein	NGO_0659		gene	2Fe-2S iron-sulfur cluster binding domain-containing protein
NGFG_01137		gene	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	"	Nmen	FA1090"	NMB1358	gatB	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	NGO_0660	gatB	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
NGFG_01136		gene	hypothetical protein	"	Nmen	FA1090"	NMB1357		gene	VirK/YbjX family protein	NGO_0661		gene	VirK/YbjX family protein
NGFG_01135		gene	glutamyl-tRNA(Gln) amidotransferase subunit A	"	Nmen	FA1090"	NMB1356	gatA	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	NGO_0662	gatA	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
NGFG_01134		gene	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	"	Nmen	FA1090"	NMB1355	gatC	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	NGO_0663	gatC	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
NGFG_01133	marC	gene	multiple antibiotic resistance membrane protein MarC	"	FA1090"					NGO_0664		gene	MarC family protein
NGFG_01132		gene	aldehyde dehydrogenase	"	Nmen	FA1090"	NMB1353		gene	aldehyde dehydrogenase family protein	NGO_0665		gene	aldehyde dehydrogenase family protein
NGFG_01131		gene	hypothetical protein	"	Nmen	FA1090"	NMB1352		gene	DUF4124 domain-containing protein	NGO_0666		gene	DUF4124 domain-containing protein
NGFG_01129		gene	ribosomal RNA small subunit methyltransferase B	"	Nmen	FA1090"	NMB1351		gene	RsmB/NOP family class I SAM-dependent RNA methyltransferase	NGO_0668		gene	RsmB/NOP family class I SAM-dependent RNA methyltransferase
NGFG_01128		gene	hypothetical protein	"	Nmen	FA1090"	NMB1349		gene	DUF1853 family protein	NGO_0669		gene	DUF1853 family protein
NGFG_01127		gene	RNA methyltransferase%2C TrmH family%2C group 1	"	Nmen	FA1090"	NMB1348		gene	RNA methyltransferase	NGO_0670		gene	RNA methyltransferase
NGFG_01125		gene	inositol-1-monophosphatase	"	Nmen	FA1090"	NMB1347		gene	inositol monophosphatase	NGO_0671		gene	inositol monophosphatase
NGFG_02308		gene	hypothetical protein	""								
NGFG_02309		gene	transposase	"	Nmen	FA1090"	NMB1411		gene	IS1595 family transposase	NGO_0528		gene	IS1595 family transposase
NGFG_01123		gene	3-isopropylmalate dehydrogenase	"	Nmen	FA1090"	NMB1031	leuB	gene	3-isopropylmalate dehydrogenase	NGO_0674	leuB	gene	3-isopropylmalate dehydrogenase
NGFG_01122		gene	type II restriction endonuclease NlaIV	"	Nmen	FA1090"	NMB1032		gene	NgoBV family restriction endonuclease	NGO_0675		gene	NgoBV family restriction endonuclease
NGFG_01121		gene	modification methylase NlaIV	"	Nmen	FA1090"	NMB1033		gene	DNA cytosine methyltransferase	NGO_0676		gene	DNA cytosine methyltransferase
NGFG_01120		gene	3-isopropylmalate dehydratase small subunit	"	Nmen	FA1090"	NMB1034	leuD	gene	3-isopropylmalate dehydratase small subunit	NGO_0677	leuD	gene	3-isopropylmalate dehydratase small subunit
NGFG_01119		gene	lipoprotein	"	Nmen	FA1090"	NMB1035		gene	hypothetical protein	NGO_0678		gene	hypothetical protein
NGFG_01118		gene	3-isopropylmalate dehydratase large subunit	"	Nmen	FA1090"	NMB1036	leuC	gene	3-isopropylmalate dehydratase large subunit	NGO_0679	leuC	gene	3-isopropylmalate dehydratase large subunit
NGFG_01117		gene	glutamate-cysteine ligase	"	Nmen	FA1090"	NMB1037	gshA	gene	glutamate--cysteine ligase	NGO_0680	gshA	gene	glutamate--cysteine ligase
NGFG_01116	radC	gene	DNA repair protein RadC	"	Nmen	FA1090"	NMB1038	radC	gene	DNA repair protein RadC	NGO_0681	radC	gene	DNA repair protein RadC
NGFG_01115		gene	hypothetical protein	"	Nmen	FA1090"	NMB1039	queH	gene	epoxyqueuosine reductase QueH	NGO_0682	queH	gene	epoxyqueuosine reductase QueH
NGFG_01114		gene	hypothetical protein	"	Nmen	FA1090"	NMB1040		gene	CAP domain-containing protein	NGO_0683		gene	CAP domain-containing protein
NGFG_01113	hflX	gene	GTP-binding protein HflX	"	Nmen	FA1090"	NMB1041	hflX	gene	GTPase HflX	NGO_0684	hflX	gene	GTPase HflX
NGFG_01112		gene	heavy metal translocating P-type ATPase	"	Nmen	FA1090"	NMB1042		gene	heavy metal translocating P-type ATPase	NGO_0685		gene	heavy metal translocating P-type ATPase
NGFG_01110		gene	ferredoxin-NADP+ reductase	"	Nmen	FA1090"	NMB1044		gene	ferredoxin--NADP reductase	NGO_0687		gene	ferredoxin--NADP reductase
NGFG_01109		gene	hypothetical protein	"	Nmen	FA1090"	NMB1045		gene	hypothetical protein	NGO_0688		gene	hypothetical protein
NGFG_01108		gene	threonine synthase	"	Nmen	FA1090"	NMB1046		gene	threonine synthase	NGO_0689		gene	threonine synthase
NGFG_01107		gene	lipoprotein	"	Nmen	FA1090"	NMB1047		gene	hypothetical protein	NGO_0690		gene	hypothetical protein
NGFG_01106		gene	membrane protein	""								
NGFG_01105		gene	membrane protein	""								
NGFG_01104		gene	hypothetical protein	""								
NGFG_01102		pseudogene		"	Nmen	FA1090"	NMB1049		gene	LysR family transcriptional regulator	NGO_03630		pseudogene	LysR family transcriptional regulator
NGFG_01100		gene	outer membrane autotransporter barrel domain-containing protein	"	FA1090"					NGO_0694		gene	autotransporter outer membrane beta-barrel domain-containing protein
NGFG_01099		gene	hypothetical protein	""								
NGFG_01098		pseudogene		"	FA1090"					NGO_03645		gene	autotransporter
NGFG_01097		gene	hypothetical protein	"	FA1090"					NGO_03650		gene	hypothetical protein
NGFG_01096		gene	recombination factor protein R	"	Nmen	FA1090"	NMB1258		gene	replication-associated recombination protein A	NGO_0696		gene	replication-associated recombination protein A
NGFG_01095		gene	type I restriction enzyme%2C R subunit	"	FA1090"					NGO_0697		gene	type I restriction endonuclease subunit R
