locustag_in_Ngo	gene	gene_takenfrom	locustag_in_Nmen	locustag_in_FA1090	product_in_Ngo	product_in_Nmen	product_in_FA1090
NGFG_01232	aceE	Nmen_FA1090_fromgene	NMB1341	NGO_0565	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
NGFG_01231			NMB1339	NGO_0566	prolyl-tRNA synthetase	proline--tRNA ligase	proline--tRNA ligase
NGFG_01230			NMB1338	NGO_0567	fumarylacetoacetate hydrolase	fumarylacetoacetate hydrolase family protein	fumarylacetoacetate hydrolase family protein
NGFG_01229	ruvX	Nmen_FA1090_fromgene	NMB1337	NGO_0568	YqgF family RNAse H domain-containing protein	Holliday junction resolvase RuvX	Holliday junction resolvase RuvX
NGFG_01228			NMB1336	NGO_0569	transcriptional regulator	YqgE/AlgH family protein	YqgE/AlgH family protein
NGFG_01227			NMB1335	NGO_0570	CreA protein	CreA family protein	CreA family protein
NGFG_01225			NMB1333	NGO_0571	metallopeptidase	peptidoglycan DD-metalloendopeptidase family protein	peptidoglycan DD-metalloendopeptidase family protein
NGFG_01224			NMB1332	NGO_0572	C-terminal processing peptidase	S41 family peptidase	S41 family peptidase
NGFG_01223	uvrB	Nmen_FA1090_fromgene	NMB1331	NGO_0573	UvrABC system protein B	excinuclease ABC subunit B	excinuclease ABC subunit B
NGFG_01222				NGO_0574	carbonic anhydrase		carbonic anhydrase family protein
NGFG_02304					hypothetical protein		hypothetical protein
NGFG_01220	trmB	Nmen_FA1090_fromgene	NMB1328	NGO_0575	tRNA (guanine-N(7)-)-methyltransferase	tRNA (guanosine(46)-N7)-methyltransferase TrmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB
NGFG_01219			NMB1327	NGO_03050		sel1 repeat family protein	sel1 repeat family protein
NGFG_01218	uvrC	Nmen_FA1090_fromgene	NMB1326	NGO_0578		excinuclease ABC subunit UvrC	excinuclease ABC subunit UvrC
NGFG_01217			NMB1325	NGO_0579	heavy metal translocating P-type ATPase	copper-translocating P-type ATPase	copper-translocating P-type ATPase
NGFG_01216	trxB	Nmen_FA1090_fromgene	NMB1324	NGO_0580	thioredoxin-disulfide reductase	thioredoxin-disulfide reductase	thioredoxin-disulfide reductase
NGFG_01215	rpsF	Nmen_FA1090_fromgene	NMB1323	NGO_0581	30S ribosomal protein S6	30S ribosomal protein S6	30S ribosomal protein S6
NGFG_01213	rpsR	FA1090_fromgene	NMB1321	NGO_0583	30S ribosomal protein S18	30S ribosomal protein S18	30S ribosomal protein S18
NGFG_01212			NMB1320	NGO_0584	50S ribosomal protein L9	50S ribosomal protein L9	50S ribosomal protein L9
NGFG_01211			NMB1319	NGO_0585	hypothetical protein	sulfite exporter TauE/SafE family protein	sulfite exporter TauE/SafE family protein
NGFG_01210	pssA	Nmen_FA1090_fromgene	NMB1318	NGO_0586	CDP-diacylglycerol-serine O-phosphatidyltransferase	CDP-diacylglycerol--serine O-phosphatidyltransferase	CDP-diacylglycerol--serine O-phosphatidyltransferase
NGFG_01208			NMB1317a	NGO_0588	hypothetical protein	DUF4189 domain-containing protein	DUF4189 domain-containing protein
NGFG_01207			NMB1315	NGO_0589	uracil-xanthine permease	uracil-xanthine permease	uracil-xanthine permease
NGFG_01206	ftsK	Nmen_FA1090_fromproduct	NMB1314	NGO_0590	DNA translocase ftsK 1	DNA translocase FtsK	DNA translocase FtsK
NGFG_02305			NMB0919	NGO_06310	transposase	IS5 family transposase	transposase
NGFG_01205			NMB1313	NGO_0592	trigger factor	trigger factor	trigger factor
NGFG_01204	clpP	Nmen_FA1090_fromgene	NMB1312	NGO_0593	ATP-dependent Clp protease proteolytic subunit	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	ATP-dependent Clp endopeptidase proteolytic subunit ClpP
NGFG_01203	ispG	Nmen_FA1090_fromgene	NMB1310	NGO_0594	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
NGFG_01202	pilW	Nmen_FA1090_fromgene	NMB1309	NGO_0595	type IV pilus biogenesis/stability protein PilW	type IV pilus biogenesis/stability protein PilW	type IV pilus biogenesis/stability protein PilW
NGFG_01201	rlmN	Nmen_FA1090_fromgene	NMB1308	NGO_0596	ribosomal RNA large subunit methyltransferase N	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
NGFG_01200	ndk	Nmen_FA1090_fromgene	NMB1307	NGO_0597	nucleoside diphosphate kinase	nucleoside-diphosphate kinase	nucleoside-diphosphate kinase
NGFG_01199	zapE	Nmen_FA1090_fromproduct	NMB1306	NGO_0598	ATPase	cell division protein ZapE	cell division protein ZapE
NGFG_01198	fghA	Nmen_FA1090_fromgene	NMB1305	NGO_0600	S-formylglutathione hydrolase	S-formylglutathione hydrolase	S-formylglutathione hydrolase
NGFG_01197			NMB1304	NGO_03170		S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
NGFG_01196			NMB1303	NGO_0602	MerR family transcriptional regulator	MerR family transcriptional regulator	MerR family transcriptional regulator
NGFG_01195			NMB1302	NGO_0603	integration host factor subunit beta	integration host factor subunit beta	integration host factor subunit beta
NGFG_01194	rpsA	Nmen_FA1090_fromgene	NMB1301	NGO_0604	30S ribosomal protein S1	30S ribosomal protein S1	30S ribosomal protein S1
NGFG_01193			NMB1300	NGO_0605	cytidylate kinase	(d)CMP kinase	(d)CMP kinase
NGFG_01192			 |  |  | NMB1299	NGO_0606	NSS family neurotransmitter:Na+ symporter	 | transporter | hypothetical protein | sodium-dependent transporter	sodium-dependent transporter
NGFG_01191			NMB1298	NGO_0607	pseudouridine synthase	pseudouridine synthase	pseudouridine synthase
NGFG_01190			NMB1297	NGO_0608	membrane-bound lytic murein transglycosylase D	LysM peptidoglycan-binding domain-containing protein	LysM peptidoglycan-binding domain-containing protein
NGFG_01189			NMB1296	NGO_0609	hypothetical protein	methyltransferase	methyltransferase domain-containing protein
NGFG_01188	mutM	Nmen_FA1090_fromgene	NMB1295	NGO_0610	formamidopyrimidine-DNA glycosylase	DNA-formamidopyrimidine glycosylase	DNA-formamidopyrimidine glycosylase
NGFG_01187			NMB1294	NGO_0611	1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase
NGFG_01186			NMB1293	NGO_0613	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01185	nrdA	Nmen_FA1090_fromgene	NMB1291	NGO_0614	ribonucleoside-diphosphate reductase subunit alpha	ribonucleoside-diphosphate reductase subunit alpha	ribonucleoside-diphosphate reductase subunit alpha
NGFG_02306					hypothetical protein		
NGFG_01184	nrdB	Nmen_FA1090_fromgene	NMB1288	NGO_0615	ribonucleoside-diphosphate reductase 1 subunit beta	ribonucleotide-diphosphate reductase subunit beta	ribonucleotide-diphosphate reductase subunit beta
NGFG_01183			NMB1287	NGO_6151	2Fe-2S iron-sulfur cluster binding protein	2Fe-2S ferredoxin-like protein	2Fe-2S ferredoxin-like protein
NGFG_01182	ftsB	Nmen_FA1090_fromgene	NMB1286	NGO_0616	cell division protein FtsB	cell division protein FtsB	cell division protein FtsB
NGFG_01181	eno	Nmen_FA1090_fromgene	NMB1285	NGO_0617	enolase	phosphopyruvate hydratase	phosphopyruvate hydratase
NGFG_01180			NMB1284	NGO_0618	hypothetical protein	DUF4149 domain-containing protein	DUF4149 domain-containing protein
NGFG_01179	kdsA	Nmen_FA1090_fromgene	NMB1283	NGO_0619	2-dehydro-3-deoxyphosphooctonate aldolase	3-deoxy-8-phosphooctulonate synthase	3-deoxy-8-phosphooctulonate synthase
NGFG_01178			NMB1282	NGO_0620	aspartate 1-decarboxylase	aspartate 1-decarboxylase	aspartate 1-decarboxylase
NGFG_01177				NGO_0621			DUF2004 domain-containing protein
NGFG_01176	mfd	Nmen_FA1090_fromgene	NMB1281	NGO_0623	transcription-repair coupling factor	transcription-repair coupling factor	transcription-repair coupling factor
NGFG_01175			NMB1280	NGO_0624	acyl-CoA dehydrogenase	acyl-CoA/acyl-ACP dehydrogenase	acyl-CoA/acyl-ACP dehydrogenase
NGFG_01173	mltB	Nmen_FA1090_fromgene	NMB1279	NGO_0626	lytic murein transglycosylase B	lytic murein transglycosylase B	lytic murein transglycosylase B
NGFG_01172			NMB1278	NGO_0627	site-specific recombinase	site-specific recombinase	site-specific recombinase
NGFG_02307			NMB1411	NGO_0528	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_01171	gyrA	Nmen_FA1090_fromgene	NMB1384	NGO_0629	DNA gyrase subunit A	DNA gyrase subunit A	DNA gyrase subunit A
NGFG_01170	hscB	Nmen_FA1090_fromgene	NMB1383	NGO_0630	Fe-S protein assembly co-chaperone HscB	Fe-S protein assembly co-chaperone HscB	Fe-S protein assembly co-chaperone HscB
NGFG_01169			NMB1382	NGO_03320	alternative ribosome-rescue factor	alternative ribosome-rescue factor A	alternative ribosome-rescue factor A
NGFG_01168	iscA	Nmen_FA1090_fromgene	NMB1381	NGO_0632	iron-sulfur cluster assembly protein IscA	iron-sulfur cluster assembly protein IscA	iron-sulfur cluster assembly protein IscA
NGFG_01167	iscU	Nmen_FA1090_fromgene	NMB1380	NGO_0633	FeS cluster assembly scaffold protein	Fe-S cluster assembly scaffold IscU	Fe-S cluster assembly scaffold IscU
NGFG_01166				NGO_03335	cell filamentation protein		Fic family protein
NGFG_01165				NGO_0635	hypothetical protein		hypothetical protein
NGFG_01164	iscS	Nmen_FA1090_fromgene	NMB1379	NGO_0636	cysteine desulfurase	IscS subfamily cysteine desulfurase	IscS subfamily cysteine desulfurase
NGFG_01163	iscR	Nmen_FA1090_fromgene	NMB1378	NGO_0637	iron-sulfur cluster assembly transcription factor IscR	Fe-S cluster assembly transcriptional regulator IscR	Fe-S cluster assembly transcriptional regulator IscR
NGFG_01161			NMB1377	NGO_0639	L-lactate dehydrogenase	alpha-hydroxy-acid oxidizing protein	alpha-hydroxy-acid oxidizing protein
NGFG_01160			NMB1376	NGO_0640	type III restriction enzyme	DEAD/DEAH box helicase family protein	DEAD/DEAH box helicase family protein
NGFG_01159				NGO_0641		hypothetical protein	type III restriction endonuclease HindVIP subunit M
NGFG_01158	truB	Nmen_FA1090_fromgene	NMB1374	NGO_0642	tRNA pseudouridine synthase B	tRNA pseudouridine(55) synthase TruB	tRNA pseudouridine(55) synthase TruB
NGFG_01157				NGO_0643	hypothetical protein		hypothetical protein
NGFG_01156	rbfA	Nmen_FA1090_fromgene	NMB1373	NGO_0644	ribosome-binding factor A	30S ribosome-binding factor RbfA	30S ribosome-binding factor RbfA
NGFG_01155	clpX	Nmen_FA1090_fromgene	NMB1372	NGO_0645	ATP-dependent Clp protease ATP-binding subunit ClpX	ATP-dependent Clp protease ATP-binding subunit ClpX	ATP-dependent Clp protease ATP-binding subunit ClpX
NGFG_01154			NMB1371	NGO_0646	acetylornithine aminotransferase	aspartate aminotransferase family protein	aspartate aminotransferase family protein
NGFG_01153			NMB1370	NGO_0647	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01152			NMB1369	NGO_0648	lipoprotein	hypothetical protein	hypothetical protein
NGFG_01150			NMB1368	NGO_0650	ATP-dependent RNA helicase	DEAD/DEAH box helicase	DEAD/DEAH box helicase
NGFG_01149			NMB1367	NGO_0651	23S rRNA (-C5)-methyltransferase	class I SAM-dependent methyltransferase	class I SAM-dependent methyltransferase
NGFG_01148	trxA	Nmen_FA1090_fromgene	NMB1366	NGO_0652	thioredoxin	thioredoxin TrxA	thioredoxin TrxA
NGFG_01146	dnrN	FA1090_fromproduct	NMB1365	NGO_0653	hypothetical protein	hemerythrin domain-containing protein	iron-sulfur cluster repair protein DnrN
NGFG_01145	nadE	Nmen_FA1090_fromgene	NMB1364	NGO_0654	NAD+ synthetase	NAD(+) synthase	NAD(+) synthase
NGFG_01144			NMB1363	NGO_0655	exodeoxyribonuclease 7 large subunit	exodeoxyribonuclease VII large subunit	exodeoxyribonuclease VII large subunit
NGFG_01143			NMB1362	NGO_0656	oxalate/formate antiporter	OFA family MFS transporter	OFA family MFS transporter
NGFG_01141			NMB1361	NGO_0657	pseudouridine synthase	rRNA pseudouridine synthase	rRNA pseudouridine synthase
NGFG_01139	pdxH	Nmen_FA1090_fromgene	NMB1360	NGO_0658	pyridoxine/pyridoxamine 5'-phosphate oxidase	pyridoxamine 5'-phosphate oxidase	pyridoxamine 5'-phosphate oxidase
NGFG_01138			NMB1359	NGO_0659	CDP-4-dehydro-6-deoxyglucose reductase	2Fe-2S iron-sulfur cluster binding domain-containing protein	2Fe-2S iron-sulfur cluster binding domain-containing protein
NGFG_01137	gatB	Nmen_FA1090_fromgene	NMB1358	NGO_0660	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
NGFG_01136			NMB1357	NGO_0661	hypothetical protein	VirK/YbjX family protein	VirK/YbjX family protein
NGFG_01135	gatA	Nmen_FA1090_fromgene	NMB1356	NGO_0662	glutamyl-tRNA(Gln) amidotransferase subunit A	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
NGFG_01134	gatC	Nmen_FA1090_fromgene	NMB1355	NGO_0663	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
NGFG_01133				NGO_0664	multiple antibiotic resistance membrane protein MarC	MarC family protein	MarC family protein
NGFG_01132			NMB1353	NGO_0665	aldehyde dehydrogenase	aldehyde dehydrogenase family protein	aldehyde dehydrogenase family protein
NGFG_01131			NMB1352	NGO_0666	hypothetical protein	DUF4124 domain-containing protein	DUF4124 domain-containing protein
NGFG_01129			NMB1351	NGO_0668	ribosomal RNA small subunit methyltransferase B	RsmB/NOP family class I SAM-dependent RNA methyltransferase	RsmB/NOP family class I SAM-dependent RNA methyltransferase
NGFG_01128			NMB1349	NGO_0669	hypothetical protein	DUF1853 family protein	DUF1853 family protein
NGFG_01127			NMB1348	NGO_0670	RNA methyltransferase%2C TrmH family%2C group 1	RNA methyltransferase	RNA methyltransferase
NGFG_01125			NMB1347	NGO_0671	inositol-1-monophosphatase	inositol monophosphatase	inositol monophosphatase
NGFG_02308			NMB0302	NGO_0673	hypothetical protein	IS1595 family transposase	IS1595 family transposase
NGFG_02309			NMB1411	NGO_0528	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_01123	leuB	Nmen_FA1090_fromgene	NMB1031	NGO_0674	3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase
NGFG_01122			NMB1032	NGO_0675	type II restriction endonuclease NlaIV	NgoBV family restriction endonuclease	NgoBV family restriction endonuclease
NGFG_01121			NMB1033	NGO_0676	modification methylase NlaIV	DNA cytosine methyltransferase	DNA cytosine methyltransferase
NGFG_01120	leuD	Nmen_FA1090_fromgene	NMB1034	NGO_0677	3-isopropylmalate dehydratase small subunit	3-isopropylmalate dehydratase small subunit	3-isopropylmalate dehydratase small subunit
NGFG_01119			NMB1035	NGO_0678	lipoprotein	hypothetical protein	hypothetical protein
NGFG_01118	leuC	Nmen_FA1090_fromgene	NMB1036	NGO_0679	3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase large subunit
NGFG_01117	gshA	Nmen_FA1090_fromgene	NMB1037	NGO_0680	glutamate-cysteine ligase	glutamate--cysteine ligase	glutamate--cysteine ligase
NGFG_01116	radC	Nmen_fromgene	NMB1038	NGO_0681	DNA repair protein RadC	DNA repair protein RadC	DNA repair protein RadC
NGFG_01115	queH	Nmen_FA1090_fromproduct	NMB1039	NGO_0682	hypothetical protein	epoxyqueuosine reductase QueH	epoxyqueuosine reductase QueH
NGFG_01114			NMB1040	NGO_0683	hypothetical protein	CAP domain-containing protein	CAP domain-containing protein
NGFG_01113	hflX	Nmen_FA1090_fromgene	NMB1041	NGO_0684	GTP-binding protein HflX	GTPase HflX	GTPase HflX
NGFG_01112			NMB1042	NGO_0685	heavy metal translocating P-type ATPase	heavy metal translocating P-type ATPase	heavy metal translocating P-type ATPase
NGFG_01110			NMB1044	NGO_0687	ferredoxin-NADP+ reductase	ferredoxin--NADP reductase	ferredoxin--NADP reductase
NGFG_01109			NMB1045	NGO_0688	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01108			NMB1046	NGO_0689	threonine synthase	threonine synthase	threonine synthase
NGFG_01107			NMB1047	NGO_0690	lipoprotein	hypothetical protein	hypothetical protein
NGFG_01106			NMB1048	NGO_03625	membrane protein	DUF3360 family protein	DUF3360 family protein
NGFG_01105			NMB1048	NGO_03625	membrane protein	DUF3360 family protein	DUF3360 family protein
NGFG_01104			NMB1048	NGO_03625	hypothetical protein	DUF3360 family protein	DUF3360 family protein
NGFG_01102			NMB1049	NGO_03630		LysR family transcriptional regulator	LysR family transcriptional regulator
NGFG_01100				NGO_0694	outer membrane autotransporter barrel domain-containing protein		autotransporter outer membrane beta-barrel domain-containing protein
NGFG_01099				NGO_0694	hypothetical protein		autotransporter outer membrane beta-barrel domain-containing protein
NGFG_01098				NGO_03645			autotransporter
NGFG_01097				NGO_03650	hypothetical protein		hypothetical protein
NGFG_01096			NMB1258	NGO_0696	recombination factor protein R	replication-associated recombination protein A	replication-associated recombination protein A
NGFG_01095				NGO_0697	type I restriction enzyme%2C R subunit		type I restriction endonuclease subunit R
NGFG_01094				NGO_0698	hypothetical protein		hydroxyacid dehydrogenase
NGFG_01093				NGO_0699	type I restriction enzyme%2C S subunit		restriction endonuclease subunit S
NGFG_01092				NGO_0700	hypothetical protein		hypothetical protein
NGFG_01091				NGO_0701	hypothetical protein		hypothetical protein
NGFG_01090			NMB1257	NGO_0702		SAM-dependent DNA methyltransferase	SAM-dependent DNA methyltransferase
NGFG_01088	ribB	Nmen_FA1090_fromgene	NMB1256	NGO_0704	3%2C4-dihydroxy-2-butanone 4-phosphate synthase	3%2C4-dihydroxy-2-butanone-4-phosphate synthase	3%2C4-dihydroxy-2-butanone-4-phosphate synthase
NGFG_02310			NMB0090		hypothetical protein	IS1595 family transposase	transposase
NGFG_02311			NMB1768		hypothetical protein	hemagglutinin repeat-containing protein	filamentous hemagglutinin N-terminal domain-containing protein
NGFG_01087			NMB1768	 |  |  |  | NGO_03710		hemagglutinin repeat-containing protein	 | filamentous hemagglutinin N-terminal domain-containing protein | hemagglutinin repeat-containing protein | hemagglutinin repeat-containing protein | hypothetical protein
NGFG_01085			NMB1762	NGO_03725		ShlB/FhaC/HecB family hemolysin secretion/activation protein	ShlB/FhaC/HecB family hemolysin secretion/activation protein
NGFG_01084				NGO_0709	hypothetical protein		hypothetical protein
NGFG_01083					hypothetical protein		
NGFG_01081	mutY	Nmen_FA1090_fromgene	NMB1396	NGO_0710	A/G-specific adenine glycosylase	A/G-specific adenine glycosylase	A/G-specific adenine glycosylase
NGFG_01080			NMB1395	NGO_0711	alcohol dehydrogenase	zinc-dependent alcohol dehydrogenase family protein	zinc-dependent alcohol dehydrogenase family protein
NGFG_01078			NMB1394	NGO_0713	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
NGFG_01077	edd	Nmen_FA1090_fromgene	NMB1393	NGO_0714	phosphogluconate dehydratase	phosphogluconate dehydratase	phosphogluconate dehydratase
NGFG_01076	zwf	Nmen_FA1090_fromgene	NMB1392	NGO_0715	glucose-6-phosphate dehydrogenase	glucose-6-phosphate dehydrogenase	glucose-6-phosphate dehydrogenase
NGFG_01075	pgl	Nmen_FA1090_fromgene	NMB1391	NGO_0716	6-phosphogluconolactonase	6-phosphogluconolactonase	6-phosphogluconolactonase
NGFG_01074			NMB1390	NGO_0717	glucokinase	glucokinase	glucokinase
NGFG_01073	hexR	Nmen_FA1090_fromgene	NMB1389	NGO_0718	RpiR family transcriptional regulator	DNA-binding transcriptional regulator HexR	DNA-binding transcriptional regulator HexR
NGFG_01072	pgi	Nmen_FA1090_fromgene	NMB1388	NGO_0719	glucose-6-phosphate isomerase 1	glucose-6-phosphate isomerase	glucose-6-phosphate isomerase
NGFG_01070			NMB1387	NGO_0721	phage protein	DUF1311 domain-containing protein	DUF1311 domain-containing protein
NGFG_01069			NMB1387	NGO_0722	hypothetical protein	DUF1311 domain-containing protein	hypothetical protein
NGFG_01068				NGO_0723	hypothetical protein		type II toxin-antitoxin system HicB family antitoxin
NGFG_02312			NMB1119		hypothetical protein	hypothetical protein	
NGFG_01064					proteic killer suppression protein		
NGFG_01063					plasmid maintenance system antidote protein		
NGFG_01062					phage protein		
NGFG_01061			NMB1115			tail fiber protein	tail fiber protein
NGFG_01060				NGO_03840	phage tail protein I		phage tail protein
NGFG_01059				NGO_0727	phage baseplate assembly protein		baseplate protein
NGFG_01058				NGO_03855	phage protein		GPW/gp25 family protein
NGFG_01057				 | NGO_03860 | 			 | baseplate assembly protein | phage baseplate assembly protein V
NGFG_01056				NGO_0729	phage protein	helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator
NGFG_02313			NMB1411	NGO_0528	transposase	IS1595 family transposase	IS1595 family transposase
NGFG_01055				NGO_0731	phage protein	hypothetical protein	hypothetical protein
NGFG_01054				NGO_0732	phage protein	hypothetical protein	hypothetical protein
NGFG_01053			NMB1001	NGO_03890	hypothetical protein	tyrosine-type recombinase/integrase	integrase arm-type DNA-binding domain-containing protein
NGFG_01052			NMB1001	NGO_03890	phage integrase	tyrosine-type recombinase/integrase	integrase arm-type DNA-binding domain-containing protein
NGFG_01051			NMB1450	NGO_0734	ferredoxin-NADP+ reductase	ferredoxin--NADP reductase	ferredoxin--NADP reductase
NGFG_01049			NMB1767			hypothetical protein	
NGFG_01048	dinB	Nmen_FA1090_fromgene	NMB1448	NGO_0738	DNA polymerase IV	DNA polymerase IV	DNA polymerase IV
NGFG_01047	rep	Nmen_FA1090_fromgene	NMB1447	NGO_0739		DNA helicase Rep	DNA helicase Rep
NGFG_01046			NMB1446	NGO_0740	3-dehydroquinate dehydratase	type I 3-dehydroquinate dehydratase	type I 3-dehydroquinate dehydratase
NGFG_01045	recA	Nmen_FA1090_fromgene	NMB1445	NGO_0741	protein recA	recombinase RecA	recombinase RecA
NGFG_01044			NMB1444	NGO_0742	UPF0133 protein	YbaB/EbfC family nucleoid-associated protein	YbaB/EbfC family nucleoid-associated protein
NGFG_01043			 | NMB1443 | 	 | NGO_0743 | 	DNA polymerase III%2C subunit gamma and tau	 | DNA polymerase III subunit gamma/tau | 	 | DNA polymerase III subunit gamma/tau | 
NGFG_01042	mutL	Nmen_FA1090_fromgene	NMB1442	NGO_0744		DNA mismatch repair endonuclease MutL	DNA mismatch repair endonuclease MutL
NGFG_01041			NMB1441a	NGO_0745	hypothetical protein	DUF3460 family protein	DUF3460 family protein
NGFG_01040			NMB1441	NGO_0746	O-methyltransferase	O-methyltransferase	O-methyltransferase
NGFG_01039			NMB1440	NGO_0747	hypothetical protein	tetratricopeptide repeat protein	tetratricopeptide repeat protein
NGFG_01038	purE	Nmen_FA1090_fromgene	NMB1439	NGO_0748	phosphoribosylaminoimidazole carboxylase%2C catalytic subunit	5-(carboxyamino)imidazole ribonucleotide mutase	5-(carboxyamino)imidazole ribonucleotide mutase
NGFG_02314			NMB1736	NGO_00200	hypothetical protein	IS630 family transposase	transposase
NGFG_02315			NMB1386		hypothetical protein	hypothetical protein	transposase
NGFG_01037				NGO_0751	outer membrane autotransporter barrel domain-containing protein		autotransporter outer membrane beta-barrel domain-containing protein
NGFG_01036			NMB1250	NGO_0752	two-component system%2C NarL family%2C nitrate/nitrite response regulator NarL	response regulator transcription factor	response regulator transcription factor
NGFG_01035			NMB1249	NGO_0753	two-component system%2C NarL family%2C nitrate/nitrite sensor kinase NarX	nitrate/nitrite sensor histidine kinase	type IV pili methyl-accepting chemotaxis transducer N-terminal domain-containing protein
NGFG_01034				NGO_0754	molybdopterin-guanine dinucleotide biosynthesis protein A	riboflavin synthase subunit alpha	molybdenum cofactor guanylyltransferase
NGFG_01033				NGO_0755	riboflavin synthase%2C alpha subunit	riboflavin synthase subunit alpha	riboflavin synthase
NGFG_01032			NMB1246	NGO_0756	hypothetical protein	ATP-binding protein	ATP-binding protein
NGFG_01031				NGO_0757	hypothetical protein	Spy/CpxP family protein refolding chaperone	Spy/CpxP family protein refolding chaperone
NGFG_01030	rpe	Nmen_FA1090_fromgene	NMB1244	NGO_0758	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase	ribulose-phosphate 3-epimerase
NGFG_01029	ruvB	Nmen_FA1090_fromgene	NMB1243	NGO_0760	Holliday junction ATP-dependent DNA helicase ruvB	Holliday junction branch migration DNA helicase RuvB	Holliday junction branch migration DNA helicase RuvB
NGFG_01028			NMB1242	NGO_0761	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01027			NMB1241	NGO_0763	multifunctional CCA protein	multifunctional CCA addition/repair protein	multifunctional CCA addition/repair protein
NGFG_01026			NMB1240	NGO_0764	ABC transporter ATP-binding protein	ABC-F family ATPase	ABC-F family ATPase
NGFG_01025			NMB1239	NGO_0765	ArsC family protein	arsenate reductase	arsenate reductase
NGFG_01024			NMB1238	NGO_0766	peptidyl-prolyl cis-trans isomerase D	SurA N-terminal domain-containing protein	SurA N-terminal domain-containing protein
NGFG_01023	recR	Nmen_FA1090_fromgene	NMB1237	NGO_0767	recombination protein recR	recombination protein RecR	recombination protein RecR
NGFG_01022			NMB1236	NGO_04070	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01020			NMB1235	NGO_0769	lipoprotein-releasing system transmembrane protein lolC	lipoprotein-releasing ABC transporter permease subunit	lipoprotein-releasing ABC transporter permease subunit
NGFG_01019	lolD	Nmen_FA1090_fromgene	NMB1234	NGO_0770	lipoprotein-releasing system ATP-binding protein LolD	lipoprotein-releasing ABC transporter ATP-binding protein LolD	lipoprotein-releasing ABC transporter ATP-binding protein LolD
NGFG_01018	recD	Nmen_FA1090_fromgene	NMB1233	NGO_0771	exodeoxyribonuclease V%2C alpha subunit	exodeoxyribonuclease V subunit alpha	exodeoxyribonuclease V subunit alpha
NGFG_01016			NMB1232	NGO_04090	hypothetical protein	class I SAM-dependent methyltransferase	class I SAM-dependent methyltransferase
NGFG_02316				NGO_0773	hypothetical protein		transposase
NGFG_01015			NMB1232	NGO_04100	hypothetical protein	class I SAM-dependent methyltransferase	methyltransferase
NGFG_01014	lon	Nmen_FA1090_fromgene	NMB1231	NGO_0775	ATP-dependent protease La	endopeptidase La	endopeptidase La
NGFG_01012			NMB1230	NGO_0777	DNA-binding protein HU-beta	HU family DNA-binding protein	HU family DNA-binding protein
NGFG_01011			NMB1229	NGO_0778	hypothetical protein	hypothetical protein	hypothetical protein
NGFG_01010			NMB1228	NGO_0779	homoserine dehydrogenase	homoserine dehydrogenase	homoserine dehydrogenase
