locustag_in_Ngo	name_in_Ngo	type_in_Ngo	product_in_Ngo	gene_in_Nmen	locustag_in_Nmen	type_in_Nmen	product_in_Nmen
NGFG_01203	NGFG_01203	gene	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	ispG	NMB1310	gene	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
NGFG_01202	NGFG_01202	gene	type IV pilus biogenesis/stability protein PilW	pilW	NMB1309	gene	type IV pilus biogenesis/stability protein PilW
NGFG_01201	NGFG_01201	gene	ribosomal RNA large subunit methyltransferase N	rlmN	NMB1308	gene	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
NGFG_01200	NGFG_01200	gene	nucleoside diphosphate kinase	ndk	NMB1307	gene	nucleoside-diphosphate kinase
NGFG_01199	NGFG_01199	gene	ATPase		NMB1306	gene	cell division protein ZapE
NGFG_01198	NGFG_01198	gene	S-formylglutathione hydrolase	fghA	NMB1305	gene	S-formylglutathione hydrolase
NGFG_01197	NGFG_01197	pseudogene			NMB1304	gene	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
NGFG_01196	NGFG_01196	gene	MerR family transcriptional regulator		NMB1303	gene	MerR family transcriptional regulator
NGFG_01195	NGFG_01195	gene	integration host factor subunit beta		NMB1302	gene	integration host factor subunit beta
NGFG_01194	NGFG_01194	gene	30S ribosomal protein S1	rpsA	NMB1301	gene	30S ribosomal protein S1
NGFG_01193	NGFG_01193	gene	cytidylate kinase		NMB1300	gene	(d)CMP kinase
NGFG_01192	NGFG_01192	gene	NSS family neurotransmitter:Na+ symporter		 |  |  | NMB1299	 | pseudogene | gene | pseudogene	 | transporter | hypothetical protein | sodium-dependent transporter
NGFG_01191	NGFG_01191	gene	pseudouridine synthase		NMB1298	gene	pseudouridine synthase
NGFG_01190	NGFG_01190	gene	membrane-bound lytic murein transglycosylase D		NMB1297	gene	LysM peptidoglycan-binding domain-containing protein
NGFG_01189	NGFG_01189	gene	hypothetical protein		NMB1296	gene	methyltransferase
NGFG_01188	NGFG_01188	gene	formamidopyrimidine-DNA glycosylase	mutM	NMB1295	gene	DNA-formamidopyrimidine glycosylase
NGFG_01187	NGFG_01187	gene	1-acyl-sn-glycerol-3-phosphate acyltransferase		NMB1294	gene	1-acyl-sn-glycerol-3-phosphate acyltransferase
NGFG_01186	NGFG_01186	gene	hypothetical protein		NMB1293	gene	hypothetical protein
NGFG_01185	NGFG_01185	gene	ribonucleoside-diphosphate reductase subunit alpha	nrdA	NMB1291	gene	ribonucleoside-diphosphate reductase subunit alpha
NGFG_02306	NGFG_02306	gene	hypothetical protein				
NGFG_01184	NGFG_01184	gene	ribonucleoside-diphosphate reductase 1 subunit beta	nrdB	NMB1288	gene	ribonucleotide-diphosphate reductase subunit beta
NGFG_01183	NGFG_01183	gene	2Fe-2S iron-sulfur cluster binding protein		NMB1287	gene	2Fe-2S ferredoxin-like protein
NGFG_01182	NGFG_01182	gene	cell division protein FtsB	ftsB	NMB1286	gene	cell division protein FtsB
NGFG_01181	NGFG_01181	gene	enolase	eno	NMB1285	gene	phosphopyruvate hydratase
NGFG_01180	NGFG_01180	gene	hypothetical protein		NMB1284	gene	DUF4149 domain-containing protein
NGFG_01179	NGFG_01179	gene	2-dehydro-3-deoxyphosphooctonate aldolase	kdsA	NMB1283	gene	3-deoxy-8-phosphooctulonate synthase
NGFG_01178	NGFG_01178	gene	aspartate 1-decarboxylase		NMB1282	gene	aspartate 1-decarboxylase
NGFG_01177	NGFG_01177	pseudogene					
NGFG_01176	NGFG_01176	gene	transcription-repair coupling factor	mfd	NMB1281	gene	transcription-repair coupling factor
NGFG_01175	NGFG_01175	gene	acyl-CoA dehydrogenase		NMB1280	gene	acyl-CoA/acyl-ACP dehydrogenase
NGFG_01173	NGFG_01173	gene	lytic murein transglycosylase B	mltB	NMB1279	gene	lytic murein transglycosylase B
NGFG_01172	NGFG_01172	gene	site-specific recombinase		NMB1278	gene	site-specific recombinase
NGFG_02307	NGFG_02307	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_01171	NGFG_01171	gene	DNA gyrase subunit A	gyrA	NMB1384	gene	DNA gyrase subunit A
NGFG_01170	NGFG_01170	gene	Fe-S protein assembly co-chaperone HscB	hscB	NMB1383	gene	Fe-S protein assembly co-chaperone HscB
NGFG_01169	NGFG_01169	gene	alternative ribosome-rescue factor		NMB1382	gene	alternative ribosome-rescue factor A
NGFG_01168	NGFG_01168	gene	iron-sulfur cluster assembly protein IscA	iscA	NMB1381	gene	iron-sulfur cluster assembly protein IscA
NGFG_01167	NGFG_01167	gene	FeS cluster assembly scaffold protein	iscU	NMB1380	gene	Fe-S cluster assembly scaffold IscU
NGFG_01166	NGFG_01166	gene	cell filamentation protein				
NGFG_01165	NGFG_01165	gene	hypothetical protein				
NGFG_01164	NGFG_01164	gene	cysteine desulfurase	iscS	NMB1379	gene	IscS subfamily cysteine desulfurase
NGFG_01163	NGFG_01163	gene	iron-sulfur cluster assembly transcription factor IscR	iscR	NMB1378	gene	Fe-S cluster assembly transcriptional regulator IscR
NGFG_01161	NGFG_01161	gene	L-lactate dehydrogenase		NMB1377	gene	alpha-hydroxy-acid oxidizing protein
NGFG_01160	NGFG_01160	gene	type III restriction enzyme		NMB1376	pseudogene	DEAD/DEAH box helicase family protein
NGFG_01159	NGFG_01159	pseudogene				gene	hypothetical protein
NGFG_01158	NGFG_01158	gene	tRNA pseudouridine synthase B	truB	NMB1374	gene	tRNA pseudouridine(55) synthase TruB
NGFG_01157	NGFG_01157	gene	hypothetical protein				
NGFG_01156	NGFG_01156	gene	ribosome-binding factor A	rbfA	NMB1373	gene	30S ribosome-binding factor RbfA
NGFG_01155	NGFG_01155	gene	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	NMB1372	gene	ATP-dependent Clp protease ATP-binding subunit ClpX
NGFG_01154	NGFG_01154	gene	acetylornithine aminotransferase		NMB1371	gene	aspartate aminotransferase family protein
NGFG_01153	NGFG_01153	gene	hypothetical protein		NMB1370	gene	hypothetical protein
NGFG_01152	NGFG_01152	gene	lipoprotein		NMB1369	gene	hypothetical protein
NGFG_01150	NGFG_01150	gene	ATP-dependent RNA helicase		NMB1368	gene	DEAD/DEAH box helicase
NGFG_01149	NGFG_01149	gene	23S rRNA (-C5)-methyltransferase		NMB1367	gene	class I SAM-dependent methyltransferase
NGFG_01148	NGFG_01148	gene	thioredoxin	trxA	NMB1366	gene	thioredoxin TrxA
NGFG_01146	NGFG_01146	gene	hypothetical protein		NMB1365	gene	hemerythrin domain-containing protein
NGFG_01145	NGFG_01145	gene	NAD+ synthetase	nadE	NMB1364	gene	NAD(+) synthase
NGFG_01144	NGFG_01144	gene	exodeoxyribonuclease 7 large subunit		NMB1363	gene	exodeoxyribonuclease VII large subunit
NGFG_01143	NGFG_01143	gene	oxalate/formate antiporter		NMB1362	gene	OFA family MFS transporter
NGFG_01141	NGFG_01141	gene	pseudouridine synthase		NMB1361	gene	rRNA pseudouridine synthase
NGFG_01139	NGFG_01139	gene	pyridoxine/pyridoxamine 5'-phosphate oxidase	pdxH	NMB1360	gene	pyridoxamine 5'-phosphate oxidase
NGFG_01138	NGFG_01138	gene	CDP-4-dehydro-6-deoxyglucose reductase		NMB1359	gene	2Fe-2S iron-sulfur cluster binding domain-containing protein
NGFG_01137	NGFG_01137	gene	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	gatB	NMB1358	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
NGFG_01136	NGFG_01136	gene	hypothetical protein		NMB1357	gene	VirK/YbjX family protein
NGFG_01135	NGFG_01135	gene	glutamyl-tRNA(Gln) amidotransferase subunit A	gatA	NMB1356	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
NGFG_01134	NGFG_01134	gene	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	gatC	NMB1355	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
NGFG_01133	NGFG_01133	gene	multiple antibiotic resistance membrane protein MarC				MarC family protein
NGFG_01132	NGFG_01132	gene	aldehyde dehydrogenase		NMB1353	gene	aldehyde dehydrogenase family protein
NGFG_01131	NGFG_01131	gene	hypothetical protein		NMB1352	gene	DUF4124 domain-containing protein
NGFG_01129	NGFG_01129	gene	ribosomal RNA small subunit methyltransferase B		NMB1351	gene	RsmB/NOP family class I SAM-dependent RNA methyltransferase
NGFG_01128	NGFG_01128	gene	hypothetical protein		NMB1349	gene	DUF1853 family protein
NGFG_01127	NGFG_01127	gene	RNA methyltransferase%2C TrmH family%2C group 1		NMB1348	gene	RNA methyltransferase
NGFG_01125	NGFG_01125	gene	inositol-1-monophosphatase		NMB1347	gene	inositol monophosphatase
NGFG_02308	NGFG_02308	gene	hypothetical protein		NMB0302	gene	IS1595 family transposase
NGFG_02309	NGFG_02309	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_01123	NGFG_01123	gene	3-isopropylmalate dehydrogenase	leuB	NMB1031	gene	3-isopropylmalate dehydrogenase
NGFG_01122	NGFG_01122	gene	type II restriction endonuclease NlaIV		NMB1032	gene	NgoBV family restriction endonuclease
NGFG_01121	NGFG_01121	gene	modification methylase NlaIV		NMB1033	gene	DNA cytosine methyltransferase
NGFG_01120	NGFG_01120	gene	3-isopropylmalate dehydratase small subunit	leuD	NMB1034	gene	3-isopropylmalate dehydratase small subunit
NGFG_01119	NGFG_01119	gene	lipoprotein		NMB1035	gene	hypothetical protein
NGFG_01118	NGFG_01118	gene	3-isopropylmalate dehydratase large subunit	leuC	NMB1036	gene	3-isopropylmalate dehydratase large subunit
NGFG_01117	NGFG_01117	gene	glutamate-cysteine ligase	gshA	NMB1037	gene	glutamate--cysteine ligase
NGFG_01116	NGFG_01116	gene	DNA repair protein RadC	radC	NMB1038	gene	DNA repair protein RadC
NGFG_01115	NGFG_01115	gene	hypothetical protein		NMB1039	gene	epoxyqueuosine reductase QueH
NGFG_01114	NGFG_01114	gene	hypothetical protein		NMB1040	gene	CAP domain-containing protein
NGFG_01113	NGFG_01113	gene	GTP-binding protein HflX	hflX	NMB1041	gene	GTPase HflX
NGFG_01112	NGFG_01112	gene	heavy metal translocating P-type ATPase		NMB1042	gene	heavy metal translocating P-type ATPase
NGFG_01110	NGFG_01110	gene	ferredoxin-NADP+ reductase		NMB1044	gene	ferredoxin--NADP reductase
NGFG_01109	NGFG_01109	gene	hypothetical protein		NMB1045	gene	hypothetical protein
NGFG_01108	NGFG_01108	gene	threonine synthase		NMB1046	gene	threonine synthase
NGFG_01107	NGFG_01107	gene	lipoprotein		NMB1047	gene	hypothetical protein
NGFG_01106	NGFG_01106	gene	membrane protein		NMB1048	gene	DUF3360 family protein
NGFG_01105	NGFG_01105	gene	membrane protein		NMB1048	gene	DUF3360 family protein
NGFG_01104	NGFG_01104	gene	hypothetical protein		NMB1048	gene	DUF3360 family protein
NGFG_01102	NGFG_01102	pseudogene			NMB1049	gene	LysR family transcriptional regulator
NGFG_01100	NGFG_01100	gene	outer membrane autotransporter barrel domain-containing protein				
NGFG_01099	NGFG_01099	gene	hypothetical protein				
NGFG_01098	NGFG_01098	pseudogene					
NGFG_01097	NGFG_01097	gene	hypothetical protein				
NGFG_01096	NGFG_01096	gene	recombination factor protein R		NMB1258	gene	replication-associated recombination protein A
NGFG_01095	NGFG_01095	gene	type I restriction enzyme%2C R subunit				
NGFG_01094	NGFG_01094	gene	hypothetical protein				
NGFG_01093	NGFG_01093	gene	type I restriction enzyme%2C S subunit				
NGFG_01092	NGFG_01092	gene	hypothetical protein				
NGFG_01091	NGFG_01091	gene	hypothetical protein				
NGFG_01090	NGFG_01090	pseudogene			NMB1257	pseudogene	SAM-dependent DNA methyltransferase
NGFG_01088	NGFG_01088	gene	3%2C4-dihydroxy-2-butanone 4-phosphate synthase	ribB	NMB1256	gene	3%2C4-dihydroxy-2-butanone-4-phosphate synthase
NGFG_02310	NGFG_02310	gene	hypothetical protein		NMB0090	pseudogene	IS1595 family transposase
NGFG_02311	NGFG_02311	gene	hypothetical protein		NMB1768	gene	hemagglutinin repeat-containing protein
NGFG_01087	NGFG_01087	pseudogene			NMB1768	gene	hemagglutinin repeat-containing protein
NGFG_01085	NGFG_01085	pseudogene			NMB1762	gene	ShlB/FhaC/HecB family hemolysin secretion/activation protein
NGFG_01084	NGFG_01084	gene	hypothetical protein				
NGFG_01083	NGFG_01083	gene	hypothetical protein				
NGFG_01081	NGFG_01081	gene	A/G-specific adenine glycosylase	mutY	NMB1396	gene	A/G-specific adenine glycosylase
NGFG_01080	NGFG_01080	gene	alcohol dehydrogenase		NMB1395	gene	zinc-dependent alcohol dehydrogenase family protein
NGFG_01078	NGFG_01078	gene	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase		NMB1394	gene	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
NGFG_01077	NGFG_01077	gene	phosphogluconate dehydratase	edd	NMB1393	gene	phosphogluconate dehydratase
NGFG_01076	NGFG_01076	gene	glucose-6-phosphate dehydrogenase	zwf	NMB1392	gene	glucose-6-phosphate dehydrogenase
NGFG_01075	NGFG_01075	gene	6-phosphogluconolactonase	pgl	NMB1391	gene	6-phosphogluconolactonase
NGFG_01074	NGFG_01074	gene	glucokinase		NMB1390	gene	glucokinase
NGFG_01073	NGFG_01073	gene	RpiR family transcriptional regulator	hexR	NMB1389	gene	DNA-binding transcriptional regulator HexR
NGFG_01072	NGFG_01072	gene	glucose-6-phosphate isomerase 1	pgi	NMB1388	gene	glucose-6-phosphate isomerase
NGFG_01070	NGFG_01070	gene	phage protein		NMB1387	pseudogene	DUF1311 domain-containing protein
NGFG_01069	NGFG_01069	gene	hypothetical protein		NMB1387	pseudogene	DUF1311 domain-containing protein
NGFG_01068	NGFG_01068	gene	hypothetical protein				
NGFG_02312	NGFG_02312	gene	hypothetical protein		NMB1119	gene	hypothetical protein
NGFG_01064	NGFG_01064	gene	proteic killer suppression protein				
NGFG_01063	NGFG_01063	gene	plasmid maintenance system antidote protein				
NGFG_01062	NGFG_01062	gene	phage protein				
NGFG_01061	NGFG_01061	pseudogene			NMB1115	gene	tail fiber protein
NGFG_01060	NGFG_01060	gene	phage tail protein I				
NGFG_01059	NGFG_01059	gene	phage baseplate assembly protein				
NGFG_01058	NGFG_01058	gene	phage protein				
NGFG_01057	NGFG_01057	pseudogene					
NGFG_01056	NGFG_01056	gene	phage protein			gene	helix-turn-helix transcriptional regulator
NGFG_02313	NGFG_02313	gene	transposase		NMB1411	gene	IS1595 family transposase
NGFG_01055	NGFG_01055	gene	phage protein			gene	hypothetical protein
NGFG_01054	NGFG_01054	gene	phage protein			gene	hypothetical protein
NGFG_01053	NGFG_01053	gene	hypothetical protein		NMB1001	gene	tyrosine-type recombinase/integrase
NGFG_01052	NGFG_01052	gene	phage integrase		NMB1001	gene	tyrosine-type recombinase/integrase
NGFG_01051	NGFG_01051	gene	ferredoxin-NADP+ reductase		NMB1450	gene	ferredoxin--NADP reductase
NGFG_01049	NGFG_01049	pseudogene			NMB1767	gene	hypothetical protein
NGFG_01048	NGFG_01048	gene	DNA polymerase IV	dinB	NMB1448	pseudogene	DNA polymerase IV
NGFG_01047	NGFG_01047	pseudogene		rep	NMB1447	gene	DNA helicase Rep
NGFG_01046	NGFG_01046	gene	3-dehydroquinate dehydratase		NMB1446	gene	type I 3-dehydroquinate dehydratase
NGFG_01045	NGFG_01045	gene	protein recA	recA	NMB1445	gene	recombinase RecA
NGFG_01044	NGFG_01044	gene	UPF0133 protein		NMB1444	gene	YbaB/EbfC family nucleoid-associated protein
NGFG_01043	NGFG_01043	gene	DNA polymerase III%2C subunit gamma and tau		 | NMB1443 | 	 | gene | sequence_feature	 | DNA polymerase III subunit gamma/tau | 
NGFG_01042	NGFG_01042	pseudogene		mutL	NMB1442	gene	DNA mismatch repair endonuclease MutL
NGFG_01041	NGFG_01041	gene	hypothetical protein		NMB1441a	gene	DUF3460 family protein
NGFG_01040	NGFG_01040	gene	O-methyltransferase		NMB1441	gene	O-methyltransferase
NGFG_01039	NGFG_01039	gene	hypothetical protein		NMB1440	gene	tetratricopeptide repeat protein
NGFG_01038	NGFG_01038	gene	phosphoribosylaminoimidazole carboxylase%2C catalytic subunit	purE	NMB1439	gene	5-(carboxyamino)imidazole ribonucleotide mutase
NGFG_02314	NGFG_02314	gene	hypothetical protein		NMB1736	gene	IS630 family transposase
NGFG_02315	NGFG_02315	gene	hypothetical protein		NMB1386	pseudogene	hypothetical protein
NGFG_01037	NGFG_01037	gene	outer membrane autotransporter barrel domain-containing protein				
NGFG_01036	NGFG_01036	gene	two-component system%2C NarL family%2C nitrate/nitrite response regulator NarL		NMB1250	gene	response regulator transcription factor
NGFG_01035	NGFG_01035	gene	two-component system%2C NarL family%2C nitrate/nitrite sensor kinase NarX		NMB1249	gene	nitrate/nitrite sensor histidine kinase
NGFG_01034	NGFG_01034	gene	molybdopterin-guanine dinucleotide biosynthesis protein A			pseudogene	riboflavin synthase subunit alpha
NGFG_01033	NGFG_01033	gene	riboflavin synthase%2C alpha subunit			pseudogene	riboflavin synthase subunit alpha
NGFG_01032	NGFG_01032	gene	hypothetical protein		NMB1246	gene	ATP-binding protein
NGFG_01031	NGFG_01031	gene	hypothetical protein			gene	Spy/CpxP family protein refolding chaperone
NGFG_01030	NGFG_01030	gene	ribulose-phosphate 3-epimerase	rpe	NMB1244	gene	ribulose-phosphate 3-epimerase
NGFG_01029	NGFG_01029	gene	Holliday junction ATP-dependent DNA helicase ruvB	ruvB	NMB1243	gene	Holliday junction branch migration DNA helicase RuvB
NGFG_01028	NGFG_01028	gene	hypothetical protein		NMB1242	gene	hypothetical protein
NGFG_01027	NGFG_01027	gene	multifunctional CCA protein		NMB1241	gene	multifunctional CCA addition/repair protein
NGFG_01026	NGFG_01026	gene	ABC transporter ATP-binding protein		NMB1240	gene	ABC-F family ATPase
NGFG_01025	NGFG_01025	gene	ArsC family protein		NMB1239	gene	arsenate reductase
NGFG_01024	NGFG_01024	gene	peptidyl-prolyl cis-trans isomerase D		NMB1238	gene	SurA N-terminal domain-containing protein
NGFG_01023	NGFG_01023	gene	recombination protein recR	recR	NMB1237	gene	recombination protein RecR
NGFG_01022	NGFG_01022	gene	hypothetical protein		NMB1236	gene	hypothetical protein
NGFG_01020	NGFG_01020	gene	lipoprotein-releasing system transmembrane protein lolC		NMB1235	gene	lipoprotein-releasing ABC transporter permease subunit
NGFG_01019	NGFG_01019	gene	lipoprotein-releasing system ATP-binding protein LolD	lolD	NMB1234	gene	lipoprotein-releasing ABC transporter ATP-binding protein LolD
NGFG_01018	NGFG_01018	gene	exodeoxyribonuclease V%2C alpha subunit	recD	NMB1233	gene	exodeoxyribonuclease V subunit alpha
NGFG_01016	NGFG_01016	gene	hypothetical protein		NMB1232	pseudogene	class I SAM-dependent methyltransferase
NGFG_02316	NGFG_02316	gene	hypothetical protein				
NGFG_01015	NGFG_01015	gene	hypothetical protein		NMB1232	pseudogene	class I SAM-dependent methyltransferase
NGFG_01014	NGFG_01014	gene	ATP-dependent protease La	lon	NMB1231	gene	endopeptidase La
NGFG_01012	NGFG_01012	gene	DNA-binding protein HU-beta		NMB1230	gene	HU family DNA-binding protein
NGFG_01011	NGFG_01011	gene	hypothetical protein		NMB1229	gene	hypothetical protein
NGFG_01010	NGFG_01010	gene	homoserine dehydrogenase		NMB1228	gene	homoserine dehydrogenase
NGFG_01009	NGFG_01009	gene	hypothetical protein		NMB1227	gene	Mth938-like domain-containing protein
NGFG_01008	NGFG_01008	gene	ABC transporter ATP-binding protein		NMB1226	gene	ATP-binding cassette domain-containing protein
NGFG_01006	NGFG_01006	gene	hypothetical protein		NMB1225	gene	hypothetical protein
NGFG_01005	NGFG_01005	gene	hypothetical protein				
NGFG_01004	NGFG_01004	gene	TraD protein				
NGFG_01003	NGFG_01003	gene	conjugative coupling factor TraD%2C PFGI-1 class				
NGFG_01002	NGFG_01002	gene	conjugal transfer pilus assembly protein TraI				
NGFG_01001	NGFG_01001	gene	hypothetical protein				
NGFG_01000	NGFG_01000	gene	LtgX protein				
NGFG_00999	NGFG_00999	gene	hypothetical protein				
NGFG_00998	NGFG_00998	gene	conjugal transfer pilus assembly protein TraA				
NGFG_00997	NGFG_00997	gene	type IV conjugative transfer system protein TraL				
NGFG_00996	NGFG_00996	gene	type IV conjugative transfer system protein TraE				
NGFG_00995	NGFG_00995	gene	type-F conjugative transfer system secretin TraK				
NGFG_00994	NGFG_00994	gene	conjugal transfer pilus assembly protein TraB				
NGFG_00993	NGFG_00993	gene	thiol:disulfide interchange protein DsbC				
NGFG_00992	NGFG_00992	gene	type IV conjugative transfer system protein TraV				
NGFG_00991	NGFG_00991	gene	type-IV secretion system protein TraC				
NGFG_00990	NGFG_00990	gene	hypothetical protein				
NGFG_00989	NGFG_00989	gene	conjugal transfer pilin signal peptidase TrbI				
NGFG_00988	NGFG_00988	gene	type-F conjugative transfer system protein TraW				
NGFG_00987	NGFG_00987	gene	conjugal transfer pilus assembly protein TraU				
NGFG_00986	NGFG_00986	gene	type-F conjugative transfer system pilin assembly protein TrbC				
NGFG_00985	NGFG_00985	gene	hypothetical protein				
NGFG_00984	NGFG_00984	gene	conjugal transfer mating pair stabilization protein TraN				
NGFG_00983	NGFG_00983	gene	hypothetical protein				
NGFG_00982	NGFG_00982	gene	conjugal transfer pilus assembly protein TraF				
NGFG_00981	NGFG_00981	gene	conjugative transfer pilus assembly protein TraH				
NGFG_00980	NGFG_00980	gene	conjugal transfer mating pair stabilization protein TraG				
NGFG_00979	NGFG_00979	gene	hypothetical protein				
NGFG_00978	NGFG_00978	gene	hypothetical protein				
NGFG_00976	NGFG_00976	gene	CspA protein				
NGFG_00975	NGFG_00975	gene	hypothetical protein				
NGFG_00974	NGFG_00974	gene	hypothetical protein				
NGFG_00973	NGFG_00973	gene	hypothetical protein				
NGFG_00972	NGFG_00972	gene	hypothetical protein				
NGFG_00971	NGFG_00971	gene	hypothetical protein				
NGFG_00970	NGFG_00970	gene	hypothetical protein				
NGFG_00969	NGFG_00969	gene	hypothetical protein				
NGFG_02317	NGFG_02317	gene	hypothetical protein				
NGFG_00968	NGFG_00968	gene	hypothetical protein				
NGFG_00967	NGFG_00967	gene	hypothetical protein				
NGFG_00966	NGFG_00966	gene	hypothetical protein				
NGFG_00965	NGFG_00965	pseudogene					
NGFG_00964	NGFG_00964	gene	hypothetical protein				
NGFG_02318	NGFG_02318	gene	hypothetical protein				
NGFG_02319	NGFG_02319	gene	hypothetical protein				
NGFG_00963	NGFG_00963	gene	hypothetical protein				
NGFG_00962	NGFG_00962	gene	hypothetical protein				
NGFG_00961	NGFG_00961	gene	acetyltransferase				
NGFG_00960	NGFG_00960	gene	hypothetical protein				
NGFG_02320	NGFG_02320	gene	hypothetical protein				
NGFG_02209	NGFG_02209	gene	hypothetical protein				
NGFG_02321	NGFG_02321	gene	hypothetical protein				
NGFG_00959	NGFG_00959	gene	hypothetical protein				
NGFG_00958	NGFG_00958	gene	hypothetical protein				
NGFG_00956	NGFG_00956	gene	hypothetical protein				
NGFG_00955	NGFG_00955	gene	hypothetical protein				
NGFG_00954	NGFG_00954	gene	hypothetical protein				
NGFG_00953	NGFG_00953	gene	DNA topoisomerase III				
NGFG_00952	NGFG_00952	gene	single-strand DNA-binding protein				
NGFG_00951	NGFG_00951	pseudogene					
NGFG_00950	NGFG_00950	gene	integrating conjugative element protein				
NGFG_00949	NGFG_00949	gene	hypothetical protein				
NGFG_00948	NGFG_00948	gene	hypothetical protein				
NGFG_00947	NGFG_00947	gene	hypothetical protein				
NGFG_00946	NGFG_00946	gene	chromosome partitioning protein ParB family protein				
NGFG_00945	NGFG_00945	gene	hypothetical protein				
NGFG_00943	NGFG_00943	gene	uracil-DNA glycosylase	ung	NMB1222	gene	uracil-DNA glycosylase
NGFG_00942	NGFG_00942	gene	hypothetical protein		NMB1221	gene	NfeD family protein
NGFG_00941	NGFG_00941	gene	outer membrane protein		NMB1220	gene	paraslipin
NGFG_00940	NGFG_00940	gene	hypothetical protein		NMB1219	gene	AI-2E family transporter
NGFG_00938	NGFG_00938	gene	UPF0250 protein		NMB1218	gene	YbeD family protein
NGFG_00937	NGFG_00937	gene	octanoyltransferase	lipB	NMB1217	gene	lipoyl(octanoyl) transferase LipB
NGFG_00936	NGFG_00936	gene	lipoyl synthase	lipA	NMB1216	gene	lipoyl synthase
NGFG_00934	NGFG_00934	gene	bacterioferritin A	bfr	NMB1207	gene	bacterioferritin
NGFG_00933	NGFG_00933	gene	bacterioferritin B	bfr	NMB1206	gene	bacterioferritin
NGFG_00932	NGFG_00932	gene	transcriptional regulator		NMB1204	gene	helix-turn-helix transcriptional regulator
NGFG_00931	NGFG_00931	gene	[protein-PII] uridylyltransferase	glnD	NMB1203	gene	[protein-PII] uridylyltransferase
NGFG_00930	NGFG_00930	gene	inosine-5'-monophosphate dehydrogenase	guaB	NMB1201	gene	IMP dehydrogenase
NGFG_00928	NGFG_00928	gene	ribonuclease R	rnr	NMB1200	gene	ribonuclease R
NGFG_06013	NGFG_06013	tRNA	tRNA-Leu		NMBt34	tRNA	tRNA-Leu
NGFG_06014	NGFG_06014	tRNA	tRNA-Ser		NMBt33	tRNA	tRNA-Ser
NGFG_00926	NGFG_00926	gene	GTP-binding protein TypA/BipA	typA	NMB1199	gene	translational GTPase TypA
NGFG_00925	NGFG_00925	gene	carbohydrate kinase		NMB1159	gene	NAD(P)H-hydrate dehydratase
NGFG_00924	NGFG_00924	gene	nickel-dependent hydrogenase%2C b-type cytochrome subunit		NMB1158	gene	cytochrome b/b6 domain-containing protein
NGFG_00923	NGFG_00923	gene	siroheme synthase		NMB1153	gene	sulfate adenylyltransferase subunit 1
NGFG_00922	NGFG_00922	gene	sulfite reductase [NADPH] flavoprotein alpha-component		NMB1152	gene	assimilatory sulfite reductase (NADPH) flavoprotein subunit
NGFG_00921	NGFG_00921	gene	sulfite reductase [NADPH] flavoprotein alpha-component		NMB1152	gene	assimilatory sulfite reductase (NADPH) flavoprotein subunit
NGFG_00920	NGFG_00920	gene	sulfite reductase [NADPH] hemoprotein beta-component	cysI	NMB1151	gene	assimilatory sulfite reductase (NADPH) hemoprotein subunit
NGFG_00919	NGFG_00919	gene	sulfite reductase [NADPH] hemoprotein beta-component	cysI	NMB1151	gene	assimilatory sulfite reductase (NADPH) hemoprotein subunit
NGFG_00918	NGFG_00918	gene	dihydroxy-acid dehydratase	ilvD	NMB1150	gene	dihydroxy-acid dehydratase
NGFG_02322	NGFG_02322	gene	hypothetical protein		NMB1147	gene	CapA family protein
NGFG_00914	NGFG_00914	gene	biotin synthase	bioB	NMB1146	gene	biotin synthase BioB
NGFG_00913	NGFG_00913	gene	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	mpl	NMB1145	gene	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
NGFG_00912	NGFG_00912	gene	hypothetical protein		NMB1144	gene	hypothetical protein
NGFG_00911	NGFG_00911	gene	hypothetical protein		NMB1143	gene	hypothetical protein
NGFG_00910	NGFG_00910	gene	hypothetical protein			gene	hypothetical protein
NGFG_00909	NGFG_00909	gene	TrmH family RNA methyltransferase		NMB1141	gene	RNA methyltransferase
NGFG_00908	NGFG_00908	gene	tRNA(Ile)-lysidine synthase	tilS	NMB1140	gene	tRNA lysidine(34) synthetase TilS
